path,old,new,title,status
AI Risk Mitigation,Modifying_Memories_in_Transformer_Models_Chen_Zhu1_Ankit_Singh_Rawat2_Manzil_Zaheer2_Srina_d5502e00.pdf,Modifying_Memories_in_Transformer_Models_d5502e00.pdf,Modifying Memories in Transformer Models,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2020_E_DITABLE_N_EURAL_N_ETWORKS_Anton_Sinitsin1_7f7ee403.pdf,Editable_Neural_Networks_Anton_Sinitsin1_7f7ee403.pdf,Editable Neural Networks Anton Sinitsin1∗,ok
AI Risk Mitigation,Toward_Trustworthy_AI_Development_Mechanisms_for_Supporting_Verifiable_Claims_Miles_Brunda_55998b84.pdf,Toward_Trustworthy_AI_Development_Mechanisms_for_Supporting_Verifiable_Claims_55998b84.pdf,Toward Trustworthy AI Development: Mechanisms for Supporting Verifiable Claims∗,ok
AI Risk Mitigation,Tree_of_Thoughts_Deliberate_Problem_Solving_with_Large_Language_Models_Shunyu_Yao_fa045610.pdf,Tree_of_Thoughts_Deliberate_Problem_Solving_with_Large_Language_Models_fa045610.pdf,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,ok
AI Risk Mitigation,Language_Models_Dont_Always_Say_What_They_Think_Unfaithful_Explanations_in_Chain-of-Though_8a8abdf7.pdf,Language_Models_Dont_Always_Say_What_They_Think_8a8abdf7.pdf,Language Models Don’t Always Say What They Think,ok
AI Risk Mitigation,The_Unreasonable_Effectiveness_of_Easy_Training_Data_for_Hard_Tasks_Peter_Hase12_Mohit_Ban_65394dec.pdf,The_Unreasonable_Effectiveness_of_Easy_Training_Data_for_Hard_Tasks_65394dec.pdf,The Unreasonable Effectiveness of Easy Training Data for Hard Tasks,ok
AI Risk Mitigation,MATES_Model-Aware_Data_Selection_for_Efficient_Pretraining_with_Data_Influence_Models_Zich_c9555aa1.pdf,MATES_Model-Aware_Data_Selection_for_Efficient_Pretraining_with_Data_Influence_Models_c9555aa1.pdf,MATES : Model-Aware Data Selection for Efficient Pretraining with Data Influence Models,ok
AI Risk Mitigation,Bandit_Structured_Prediction_for_Learning_from_Partial_Feedback_in_Statistical_Machine_Tra_51b794ae.pdf,Bandit_Structured_Prediction_for_Learning_51b794ae.pdf,Bandit Structured Prediction for Learning,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2025_I_MPROVING_P_RETRAINING_DATA_U_SING_P_ERPLEXI_a455d2b1.pdf,Improving_Pretraining_DATA_Using_Perplexity_Correlations_a455d2b1.pdf,Improving Pretraining DATA Using Perplexity Correlations,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2025_V_ECTOR_-ICL_I_N_-_CONTEXT_L_EARNING_WITH_C_O_e91b0436.pdf,Vector_-ICL_I_N_-_CONTEXT_Learning_WITH_Con_TINUOUS_Vector_Representations_e91b0436.pdf,Vector -ICL: I N - CONTEXT Learning WITH Con TINUOUS Vector Representations,ok
AI Risk Mitigation,Mitigating_harm_in_language_models_with_conditional-likelihood_filtration_Helen_Ngo_e488f1c5.pdf,Mitigating_harm_in_language_models_with_conditional-likelihood_filtration_e488f1c5.pdf,Mitigating harm in language models with conditional-likelihood filtration,ok
AI Risk Mitigation,Preprint_T_HE_U_NLOCKING_S_PELL_ON_BASE_LLM_S_R_ETHINKING_A_LIGNMENT_VIA_I_N_-C_ONTEXT_L_E_e7018118.pdf,Preprint_The_Unlocking_Spell_ON_BASE_LLM_S_Rethinking_Alignment_VIA_I_N_-Context_Learning_e7018118.pdf,Preprint The Unlocking Spell ON BASE LLM S : Rethinking Alignment VIA I N -Context Learning,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2024_B_EYOND_M_EMORIZATION_V_IOLATING_P_RIVACY_VIA_ff5b04a9.pdf,Beyond_Memorization_Violating_Privacy_VIA_Inference_WITH_Large_Language_Models_ff5b04a9.pdf,Beyond Memorization : Violating Privacy VIA Inference WITH Large Language Models,ok
AI Risk Mitigation,Learning_to_Give_Checkable_Answers_with_Prover-Verifier_Games_Cem_Anil_Guodong_Zhang_Yuhua_898d8f37.pdf,Learning_to_Give_Checkable_Answers_with_Prover-Verifier_Games_898d8f37.pdf,Learning to Give Checkable Answers with Prover-Verifier Games,ok
AI Risk Mitigation,L_O_RA_L_OW-R_ANK_A_DAPTATION_OF_L_ARGE_L_AN_GUAGE_M_ODELS_Edward_Hu_Yelong_Shen_6e77126e.pdf,L_Ora_Low-Rank_Adaptation_OF_Large_Lan_GUAGE_Models_Edward_Hu_6e77126e.pdf,L Ora: Low-Rank Adaptation OF Large Lan GUAGE Models Edward Hu∗,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2024_Q_UANTIFYING_L_ANGUAGE_M_ODELS_S_ENSITIVITY_T_adae8624.pdf,Quantifying_Language_Models_Sensitivity_TO_adae8624.pdf,Quantifying Language Models ’ Sensitivity TO,ok
AI Risk Mitigation,Continual_Learning_for_Grounded_Instruction_Generation_by_Observing_Human_Following_Behavi_b21e1efe.pdf,Continual_Learning_for_Grounded_Instruction_Generation_b21e1efe.pdf,Continual Learning for Grounded Instruction Generation,ok
AI Risk Mitigation,Taken_out_of_context_On_measuring_situational_awareness_in_LLMs_Lukas_Berglund1_Asa_Cooper_7aa1d3a7.pdf,Taken_out_of_context_On_measuring_situational_awareness_in_LLMs_7aa1d3a7.pdf,Taken out of context: On measuring situational awareness in LLMs,ok
AI Risk Mitigation,HellaSwag_Can_a_Machine_Really_Finish_Your_Sentence_Rowan_Zellers_Ari_Holtzman_Yonatan_Bis_2afe6f6e.pdf,HellaSwag_Can_a_Machine_Really_Finish_Your_Sentence_2afe6f6e.pdf,HellaSwag: Can a Machine Really Finish Your Sentence?,ok
AI Risk Mitigation,BoolQ_Exploring_the_Surprising_Difficulty_of_Natural_YesNo_Questions_Christopher_Clark1_Ke_284120f6.pdf,BoolQ_Exploring_the_Surprising_Difficulty_of_Natural_YesNo_Questions_284120f6.pdf,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,ok
AI Risk Mitigation,When_Will_AI_Exceed_Human_Performance_Evidence_from_AI_Experts_Katja_Grace12_John_Salvatie_e98d2a63.pdf,When_Will_AI_Exceed_Human_Performance_Evidence_from_AI_Experts_e98d2a63.pdf,When Will AI Exceed Human Performance? Evidence from AI Experts,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2019_GLUE_A_M_ULTI_-TASK_B_ENCHMARK_AND_A_NALYSIS__1a0560a9.pdf,GLUE_A_Multi_-TASK_Benchmark_AND_Analysis_Platform_FOR_NATURAL_Language_Understand_1a0560a9.pdf,GLUE: A Multi -TASK Benchmark AND Analysis Platform FOR NATURAL Language Understand -,ok
AI Risk Mitigation,Published_as_a_conference_paper_at_ICLR_2023_O_FFLINE_RL_FOR_NATURAL_L_ANGUAGE_G_ENERATION_88c11c96.pdf,Offline_RL_FOR_NATURAL_Language_Generation_WITH_Implicit_Language_Q_Learning_88c11c96.pdf,Offline RL FOR NATURAL Language Generation WITH Implicit Language Q Learning,ok
AI Risk Mitigation,A_Study_on_Large_Language_Models_Limitations_in_Multiple-Choice_Question_Answering_c0749d42.pdf,A_Study_on_Large_Language_Models_Limitations_in_Multiple-Choice_c0749d42.pdf,A Study on Large Language Models’ Limitations in Multiple-Choice,ok
AI Risk Mitigation,Studying_Large_Language_Model_Generalization_with_Influence_Functions_Roger_Grosse_Juhan_B_e306821e.pdf,Studying_Large_Language_Model_Generalization_with_Influence_Functions_e306821e.pdf,Studying Large Language Model Generalization with Influence Functions,ok
AI Risk Mitigation,Published_in_Transactions_on_Machine_Learning_Research_(092024)_Foundational_Challenges_in_0db552b0.pdf,on_Machine_Learning_Research_(092024)_Foundational_Challenges_in_Assuring_Alignment_and_0db552b0.pdf,on Machine Learning Research (09/2024) Foundational Challenges in Assuring Alignment and,ok
AI Risk Mitigation,Artificial_intelligence_and_biological_misuse_Differentiating_risks_of_language_models_and_1d8ad22c.pdf,Artificial_intelligence_and_biological_misuse_Differentiating_risks_of_language_1d8ad22c.pdf,Artificial intelligence and biological misuse: Differentiating risks of language,ok
