document,url,line,matched_document
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://blog.bluedot.org/p/scalable-oversight-intro?utm_source=bluedot-impact,3,AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://alignment.anthropic.com/2025/recommended-directions/?utm_source=bluedot-impact,3,AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/research/small-samples-poison?utm_source=bluedot-impact,3,AI Risk Mitigation/A small number of samples can poison LLMs of any size.md
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://blog.bluedot.org/p/data-filtration?utm_source=bluedot-impact,3,AI Risk Mitigation/What is input data filtration in AI safety?.md
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://deepignorance.ai/?utm_source=bluedot-impact,3,AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://alignment.anthropic.com/2025/pretraining-data-filtering/?utm_source=bluedot-impact,3,AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://kairos.fm/simple-technical-rlhaif/?utm_source=bluedot-impact,3,AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://ar5iv.labs.arxiv.org/html/2212.08073,197,Model-level Mitigation/Constitutional AI Harmlessness from AI Feedback.md
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,"https://ar5iv.labs.arxiv.org/html/2212.08073#:~:text=in%20our%20repository.-,3,Constitutional%20AI%3A%20Critiques%2C%20Revisions%2C%20and%20Supervised%20Learning,-In%20this%20section",239,Model-level Mitigation/Constitutional AI Harmlessness from AI Feedback.md
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/ai-could-defeat-all-of-us-combined/?utm_source=bluedot-impact,3,AI Safety/AI Could Defeat All Of Us Combined.md
AI Safety/Statement on Superintelligence.md,https://superintelligence-statement.org/,3,AI Safety/Statement on Superintelligence.md
AI Safety/What failure looks like — AI Alignment Forum.md,https://www.alignmentforum.org/posts/HBxe6wdjxK239zajf/what-failure-looks-like?utm_source=bluedot-impact,3,AI Safety/What failure looks like — AI Alignment Forum.md
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7259395/ai-chess-cheating-palisade-research/,3,"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md"
AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md,https://milesbrundage.substack.com/p/my-recent-lecture-at-berkeley-and,3,AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md
AI Safety/Executive summary.md,https://keepthefuturehuman.ai/essay/docs/executive-summary,3,AI Safety/Executive summary.md
"AI Safety/Why Would AI ""Aim"" To Defeat Humanity?.md",https://www.cold-takes.com/why-would-ai-aim-to-defeat-humanity/?utm_source=bluedot-impact,3,"AI Safety/Why Would AI ""Aim"" To Defeat Humanity?.md"
"AI Safety/Why Would AI ""Aim"" To Defeat Humanity?.md",https://www.cold-takes.com/ai-could-defeat-all-of-us-combined/,26,AI Safety/AI Could Defeat All Of Us Combined.md
"AI Safety/Why Would AI ""Aim"" To Defeat Humanity?.md",https://www.cold-takes.com/ai-could-defeat-all-of-us-combined/#how-this-could-work-if-humans-create-a-huge-population-of-ais,310,AI Safety/AI Could Defeat All Of Us Combined.md
AI Safety/Dario Amodei — Machines of Loving Grace.md,https://www.darioamodei.com/essay/machines-of-loving-grace,3,AI Safety/Dario Amodei — Machines of Loving Grace.md
"AI Safety/IF ANYONE BUILDS IT,EVERYONE DIES.md",https://ifanyonebuildsit.com/,3,"AI Safety/IF ANYONE BUILDS IT,EVERYONE DIES.md"
Model-level Mitigation/Problems with Reinforcement Learning from Human Feedback (RLHF) for AI safety.md,https://blog.bluedot.org/p/rlhf-limitations-for-ai-safety?utm_source=bluedot-impact,3,Model-level Mitigation/Problems with Reinforcement Learning from Human Feedback (RLHF) for AI safety.md
Model-level Mitigation/Weak-to-Strong Generalization Eliciting Strong Capabilities With Weak Supervision.md,https://ar5iv.labs.arxiv.org/html/2312.09390,3,Model-level Mitigation/Weak-to-Strong Generalization Eliciting Strong Capabilities With Weak Supervision.md
"Model-level Mitigation/What is AI debate, and can it make systems safer?.md",https://blog.bluedot.org/p/what-is-ai-debate-and-can-it-make-systems-safer?utm_source=bluedot-impact,3,"Model-level Mitigation/What is AI debate, and can it make systems safer?.md"
Model-level Mitigation/What is Weak-to-Strong Generalisation?.md,https://blog.bluedot.org/p/what-is-weak-to-strong-generalisation?utm_source=bluedot-impact,3,Model-level Mitigation/What is Weak-to-Strong Generalisation?.md
Model-level Mitigation/Illustrating Reinforcement Learning from Human Feedback (RLHF).md,https://huggingface.co/blog/rlhf?utm_source=bluedot-impact,3,Model-level Mitigation/Illustrating Reinforcement Learning from Human Feedback (RLHF).md
Model-level Mitigation/Constitutional AI Harmlessness from AI Feedback.md,https://ar5iv.labs.arxiv.org/html/2212.08073,3,Model-level Mitigation/Constitutional AI Harmlessness from AI Feedback.md
Model-level Mitigation/Detecting and reducing scheming in AI models.md,https://openai.com/index/detecting-and-reducing-scheming-in-ai-models/?utm_source=bluedot-impact,3,Model-level Mitigation/Detecting and reducing scheming in AI models.md
Model-level Mitigation/What is deliberative alignment?.md,https://blog.bluedot.org/p/deliberative-alignment?utm_source=bluedot-impact,3,Model-level Mitigation/What is deliberative alignment?.md
Model-level Mitigation/What is deliberative alignment?.md,https://www.anthropic.com/research/alignment-faking,90,AI Alignment/Alignment faking in large language models.md
Multi-Agent/New Report Multi-Agent Risks from Advanced AI.md,https://www.cooperativeai.com/post/new-report-multi-agent-risks-from-advanced-ai?utm_source=bluedot-impact,3,Multi-Agent/New Report Multi-Agent Risks from Advanced AI.md
AI Alignment/IIIc. Superalignment.md,"https://situational-awareness.ai/superalignment/#The_default_plan_how_we_can_muddle_through:~:text=call%2Dfor%2Dproposals.-,Automating%20alignment%20research,-Ultimately%2C%20we%E2%80%99re%20going",3,AI Alignment/IIIc. Superalignment.md
AI Alignment/Agentic Misalignment How LLMs could be insider threats.md,https://www.anthropic.com/research/agentic-misalignment?utm_source=bluedot-impact,3,AI Alignment/Agentic Misalignment How LLMs could be insider threats.md
