filename,type,title,description,source_url,body_excerpt
102_1a2f19d2.md,md,102,,https://www.lesswrong.com/posts/oC4wv4nTrs2yrP5hz/what-are-the-strongest-arguments-for-very-short-timelines?commentId=Kzam9tz2WsDnBZYAu,"# 102 --- title: 102 author: Kaj Sotala url: https://www.lesswrong.com/posts/oC4wv4nTrs2yrP5hz/what-are-the-strongest-arguments-for-very-short-timelines?commentId=Kzam9tz2WsDnBZYAu hostname: lesswrong.com sitename: lesswrong.com date: 2024-12-23 --- It's worthy of a (long) post, but I'll try to summarize. For what it's worth, I'll die on this hill. General intelligence = Broad, cross-domain ability and skills. Narrow intelligence = Domain-specific or task-specific skills. The first subsumes the "
112_726c5d45.md,md,112,,https://www.lesswrong.com/posts/iDFTmb8HSGtL4zTvf/how-could-we-know-that-an-agi-system-will-have-good,"# 112 --- title: 112 author: So url: https://www.lesswrong.com/posts/iDFTmb8HSGtL4zTvf/how-could-we-know-that-an-agi-system-will-have-good hostname: lesswrong.com sitename: lesswrong.com date: 2022-11-07 --- (Note: This was languishing in a drafts folder for a while, and probably isn't quite right in various ways. I'm posting it because I expect it's better to share flawed thoughts than to sit on the post until I'm satisfied with it, i.e., forever.) Let's play a game of ""what do you think you kn"
116_294b0039.md,md,116,,https://www.lesswrong.com/posts/qGRk7uF92Gcmq2oeK/ablations-for-frontier-models-are-capable-of-in-context,# 116 --- title: 116 author: AlexMeinke; Bronson Schoen; Marius Hobbhahn; Mikita Balesni; Jérémy Scheurer; Rusheb url: https://www.lesswrong.com/posts/qGRk7uF92Gcmq2oeK/ablations-for-frontier-models-are-capable-of-in-context hostname: lesswrong.com sitename: lesswrong.com date: 2024-12-17 --- We recently published our paper “Frontier Models are Capable of In-context Scheming”. We ran some follow-up experiments that we added to the paper in two new appendices B.5 and B.6. We summarize these follo
119_a4a84e19.md,md,119,,https://www.lesswrong.com/posts/doPbyzPgKdjedohud/the-case-for-more-ambitious-language-model-evals,"# 119 --- title: 119 author: Jozdien url: https://www.lesswrong.com/posts/doPbyzPgKdjedohud/the-case-for-more-ambitious-language-model-evals hostname: lesswrong.com sitename: lesswrong.com date: 2024-01-30 --- Here are some capabilities that I expect to be pretty hard to discover using an RLHF’d chat LLM[1]: Eric Drexler tried to use the GPT-4 base model as a writing assistant, and it [...] knew who he was from what he was writing. He tried to simulate a conversation to have the AI help him with"
143_11a0e906.md,md,143,,https://www.lesswrong.com/posts/LTtNXM9shNM9AC2mp/superintelligence-faq,"# 143 --- title: 143 author: Scott Alexander url: https://www.lesswrong.com/posts/LTtNXM9shNM9AC2mp/superintelligence-faq hostname: lesswrong.com sitename: lesswrong.com date: 2016-09-20 --- Editor's note: this post is several years out of date and doesn't include information on modern systems like GPT-4, but is still a solid layman's introduction to why superintelligence might be important, dangerous and confusing. 1: What is superintelligence? A superintelligence is a mind that is much more in"
159_fc67c38f.md,md,159,,https://www.lesswrong.com/posts/dLg7CyeTE4pqbbcnp/language-models-model-us,"# 159 --- title: 159 author: Eggsyntax url: https://www.lesswrong.com/posts/dLg7CyeTE4pqbbcnp/language-models-model-us hostname: lesswrong.com sitename: lesswrong.com date: 2024-05-17 --- Produced as part of the MATS Winter 2023-4 program, under the mentorship of @Jessica Rumbelow One-sentence summary: On a dataset of human-written essays, we find that gpt-3.5-turbo can accurately infer demographic information about the authors from just the essay text, and suspect it's inferring much more. Intr"
16-634_8ed13555.pdf,pdf,16-634_8ed13555,,https://www.jmlr.org/papers/volume18/16-634/16-634.pdf,"Journal of Machine Learning Research 18 (2017) 1-46 Submitted 12/16; Revised 11/17; Published 12/17 A Survey of Preference-Based Reinforcement Learning Methods Christian Wirth cwirth@ke.tu-darmstadt.de Knowledge Engineering Group, Technische Universität Darmstadt Hochschulstraße 10, 64289 Darmstadt, Germany Riad Akrour riad@robot-learning.de Computational Learning for Autonomous Systems, Technische Universität Darmstadt Hochschulstraße 10, 64289 Darmstadt, Germany Gerhard Neumann gneumann@lincoln.ac.uk Computational Learning, School of Computer Science, University of Lincoln Brayford Pool, Lincoln, LN6 7TS, Great Britain Johannes Fürnkranz juffi@ke.tu-darmstadt.de Knowledge Engineering Group, Technische Universität Darmstadt Hochschulstraße 10, 64289 Darmstadt, Germany Editor: George Konid"
161_b497a748.md,md,161,,https://www.lesswrong.com/posts/GfZfDHZHCuYwrHGCd/without-fundamental-advances-misalignment-and-catastrophe,"# 161 --- title: 161 author: Jeremy Gillen; Peterbarnett url: https://www.lesswrong.com/posts/GfZfDHZHCuYwrHGCd/without-fundamental-advances-misalignment-and-catastrophe hostname: lesswrong.com sitename: lesswrong.com date: 2024-01-26 --- In this report we argue that AI systems capable of large scale scientific research will likely pursue unwanted goals and this will lead to catastrophic outcomes. We argue this is the default outcome, even with significant countermeasures, given the current traj"
189_b6e771eb.md,md,189,,https://www.lesswrong.com/posts/BAzCGCys4BkzGDCWR/the-prototypical-catastrophic-ai-action-is-getting-root,"# 189 --- title: 189 author: Buck url: https://www.lesswrong.com/posts/BAzCGCys4BkzGDCWR/the-prototypical-catastrophic-ai-action-is-getting-root hostname: lesswrong.com sitename: lesswrong.com date: 2022-06-02 --- (I think Carl Shulman came up with the “hacking the SSH server” example, thanks to him for that. Thanks to Ryan Greenblatt, Jenny Nitishinskaya, and Ajeya Cotra for comments.) EDIT: I recommend reading my discussion with Oli in the comments for various useful clarifications. In my opin"
190_f3b729eb.md,md,190,,https://www.lesswrong.com/posts/6cWgaaxWqGYwJs3vj/a-basic-systems-architecture-for-ai-agents-that-do,"# 190 --- title: 190 author: Buck url: https://www.lesswrong.com/posts/6cWgaaxWqGYwJs3vj/a-basic-systems-architecture-for-ai-agents-that-do hostname: lesswrong.com sitename: lesswrong.com date: 2024-09-23 --- A lot of threat models describing how AIs might escape our control (e.g. self-exfiltration, hacking the datacenter) start out with AIs that are acting as agents working autonomously on research tasks (especially AI R&D) in a datacenter controlled by the AI company. So I think it’s important"
2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,md,2015 : WHAT DO YOU THINK ABOUT MACHINES THAT THINK?,,https://www.edge.org/response-detail/26243,"# 2015 : WHAT DO YOU THINK ABOUT MACHINES THAT THINK? --- title: 2015 : WHAT DO YOU THINK ABOUT MACHINES THAT THINK? author: Steven Pinker Johnstone Family Professor; Department; Harvard University; Author; Rationality url: https://www.edge.org/response-detail/26243 hostname: edge.org sitename: edge.org date: 2026-04-26 --- Thomas Hobbes's pithy equation ""Reasoning is but reckoning"" is one of the great ideas in human history. The notion that rationality can be accomplished by the physical proces"
2025-05-announcement.html_43e2e365.md,md,2025-05-announcement.html,,https://palisaderesearch.github.io/shutdown_avoidance/2025-05-announcement.html,# 2025-05-announcement.html --- url: https://palisaderesearch.github.io/shutdown_avoidance/2025-05-announcement.html hostname: github.io sitename: palisaderesearch.github.io date: 2025-05-20 --- | model | allow-shutdown instruction | no instruction | |-------|:--------------------------:|:--------------:| | Claude 3 Opus | [0/100][claude-3-opus-allow] | [0/100][claude-3-opus-none] | | Claude 3.7 Sonnet | [0/100][claude-3-7-sonnet-allow] | [3/100][claude-3-7-sonnet-none] | | Claude 4 Sonnet | [0/
2025-08-20-xai-risk-management-framework_c9093de6.pdf,pdf,2025-08-20-xai-risk-management-framework_c9093de6,,https://data.x.ai/2025-08-20-xai-risk-management-framework.pdf,"xAI Risk Management Framework Last updated: August 20, 2025 xAI seriously considers safety and security while developing and advancing AI models to help us all to better understand the universe. This Risk Management Framework (“RMF”) outlines xAI’s approach to policies for handling significant risks associated with the development, deployment, and release of AI models such as Grok. xAI plans to continuously review and adjust this RMF over time, as AI model development, capability and use cases evolve. Scope This RMF discusses two major categories of AI risk—malicious use and loss of control—and outlines the quantitative thresholds, metrics, and procedures that xAI may utilize to manage and improve the safety of its AI models. In addition, this RMF discusses xAI’s approach to addressing ope"
