action,ai_score,confidence,filename,moved,new_folder,old_folder,risk_category,source_type,tags,wiki_concepts
applied,7,medium,102_1a2f19d2.md,yes,RSP,AI Safety,structural,blog_post,evaluations|AGI,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,12,low,159_fc67c38f.md,yes,Evaluation,AI Safety,misalignment,blog_post,deception,Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,12,medium,161_b497a748.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,inner-alignment|catastrophic-risk,RLHF & Its Limitations
applied,5,medium,189_b6e771eb.md,yes,Evaluation,AI Safety,misuse|mistakes,blog_post,cyber-offense|intelligence-explosion|catastrophic-risk|interpretability,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,13,medium,190_f3b729eb.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|autonomous-systems|Anthropic|METR,AI Evaluations & Benchmarks|Agentic Misalignment
applied,3,low,221_56f53f26.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,5,medium,226_9b066c2d.md,yes,Evaluation,AI Safety,misalignment,blog_post,deception|evaluations,Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Alignment Faking & Scheming
applied,8,medium,254_5f282ae9.md,yes,Evaluation,AI Safety,misalignment,blog_post,inner-alignment|robustness,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,4,low,281_ec170c80.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight
applied,12,medium,287_aa6f98d1.md,yes,Evaluation,AI Safety,misalignment,blog_post,scheming|deception|deceptive-alignment|scalable-oversight|evaluations|catastrophic-risk|OpenAI,Scalable Oversight|Alignment Faking & Scheming|AI Evaluations & Benchmarks
applied,13,low,293_5e45579a.md,yes,RSP,AI Safety,misalignment,blog_post,RSP,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies
applied,3,low,301_60c3e5f2.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations,Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,8,low,452_758831b4.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,persuasion,RLHF & Its Limitations
applied,2,low,458_cf90fc1b.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Existential Risk & Superintelligence
skip_lowconf_noconcepts,2,low,AI_Alignment_57150640.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
skip_lowconf_noconcepts,2,low,AI_Alignment_72dc2650.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
skip_lowconf_noconcepts,2,low,AI_Alignment_9c5918bf.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
skip_lowconf_noconcepts,2,low,AI_Alignment_dbe0a694.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
applied,5,high,AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,debate|superintelligence|x-risk|AGI,Scalable Oversight|Existential Risk & Superintelligence
applied,8,medium,AI_jailbreaks_What_they_are_and_how_they_can_be_mitigated_Microsoft_Security_Blog_4cf43e3b.md,yes,Evaluation,AI Safety,misuse,blog_post,red-teaming|dual-use|jailbreaking|prompt-injection,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,8,medium,AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,yes,RSP,AI Safety,misuse,blog_post,bioweapons|cyber-offense|CBRN|model-card|Anthropic|OpenAI|Meta|open-source|open-weight,Scalable Oversight|Responsible Scaling Policies
skip_lowconf_noconcepts,1,low,ATTCK_Matrix_for_Enterprise_90bbfb5d.md,yes,AI Risk Mitigation,AI Safety,misuse,educational,cyber-offense,
applied,3,medium,Advances_in_CRISPR_therapeutics_-_Nature_Reviews_Nephrology_eb101748.md,yes,RSP,AI Safety,misalignment,blog_post,RSP|regulation,Responsible Scaling Policies
applied,4,medium,Alignment_Research_Center_62b91b1b.md,yes,Model-level Mitigation,AI Safety,misalignment,blog_post,catastrophic-risk|ARC,Weak-to-Strong Generalization
applied,4,high,All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,x-risk|AGI,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,8,medium,Announcements_0f14dddf.md,yes,RSP,AI Safety,mistakes,blog_post,evaluations|benchmarks|RSP|model-card|agentic-AI|Anthropic|Google,Agentic Misalignment|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,12,high,Anson_Ho_ed0b588b.md,yes,Evaluation,AI Safety,structural,research_paper,debate|benchmarks|intelligence-explosion|OpenAI|AGI,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,2,low,Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,yes,Evaluation,AI Safety,misalignment,blog_post,catastrophic-risk,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,6,medium,Anthropics_Frontier_Safety_Roadmap_c71576a7.md,yes,RSP,AI Safety,misuse,blog_post,red-teaming|RSP|responsible-scaling|ASL|autonomous-systems|Anthropic|jailbreaking,AI Evaluations & Benchmarks|Responsible Scaling Policies|Agentic Misalignment
skip_no_ai_signal,1,low,Approximating_KL_Divergence_e00e4e24.md,yes,Evaluation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,2,low,Article_56_Codes_of_Practice_cd9ad85d.md,yes,Evaluation,AI Safety,misalignment,blog_post,regulation,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,8,medium,Aviary_training_language_agents_on_challenging_scientific_tasks_FutureHouse_a9156d94.md,yes,Evaluation,AI Safety,misalignment,blog_post,benchmarks|tool-use|OpenAI|open-source,Scalable Oversight|Agentic Misalignment|AI Evaluations & Benchmarks
applied,3,high,BadLlama_3_d33b0c77.md,yes,Evaluation,AI Safety,misalignment,educational,evaluations|benchmarks,AI Evaluations & Benchmarks
applied,3,low,Bayes_factor_-_Wikipedia_2aa0afd6.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,6,medium,Bill_Text_b3f665b3.md,yes,Evaluation,AI Safety,misuse,blog_post,deception|evaluations|cyber-offense|catastrophic-risk|transparency,Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Scalable Oversight
applied,4,low,Buck_3aaf690a.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,scheming,RLHF & Its Limitations|Alignment Faking & Scheming|Existential Risk & Superintelligence
skip_no_ai_signal,1,low,CBRN_defense_-_Wikipedia_7dc02fd5.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,CBRN,Scalable Oversight
applied,15,medium,CERN_for_AI_An_overview_ad031a5f.md,yes,Evaluation,AI Safety,misuse,blog_post,governance|open-source,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,3,low,CRISPR_-_Wikipedia_6fa4f6de.md,yes,RSP,AI Safety,misalignment,blog_post,RSP,Responsible Scaling Policies
applied,12,medium,Claude_Doesnt_Want_to_Die_b85a5017.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|benchmarks|existential-risk|Anthropic|OpenAI,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,10,medium,Claudes_Constitution_5f2c1d85.md,yes,RSP,AI Safety,misalignment,blog_post,Constitutional-AI|scalable-oversight|RSP|Anthropic|DeepMind|transparency|adversarial,RLHF & Its Limitations|Constitutional AI (RLAIF)|Scalable Oversight|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,10,medium,Claudes_Constitution_b1c32e58.md,yes,RSP,AI Safety,misuse,model_card,bioweapons|cyber-offense|model-card|Anthropic|transparency|jailbreaking,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,3,medium,Code_World_Model_Preparedness_Report_d4af6e7f.md,yes,Evaluation,AI Safety,misalignment,blog_post,catastrophic-risk|open-weight,Scalable Oversight|AI Evaluations & Benchmarks
skip_no_ai_signal,1,low,Concorde_-_Wikipedia_12110b87.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight
