filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
Ablations_For_Frontier_Models_Are_Capable_Of_In_Context_294b0039.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Ablations For Frontier Models Are Capable Of In Context,https://www.lesswrong.com/posts/qGRk7uF92Gcmq2oeK/ablations-for-frontier-models-are-capable-of-in-context,blog_post,misalignment,Alignment Faking & Scheming,scheming,AlexMeinke; Bronson Schoen; Marius Hobbhahn; Mikita Balesni; Jérémy Scheurer; Rusheb,2024-12-17,
Alignment-Faking-Policy-Memo_d6079e02.pdf,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Alignment-Faking-Policy-Memo,,research_paper,misalignment,"Alignment Faking & Scheming, Existential Risk & Superintelligence","alignment-faking, Anthropic",,,
Alignment-Faking-in-Large-Language-Models-reviews_731573a2.pdf,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Alignment-Faking-in-Large-Language-Models-reviews,,research_paper,misalignment,Alignment Faking & Scheming,"alignment-faking, Anthropic",,,
Alignment_faking_in_large_language_models_3d7e3773.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Alignment faking in large language models,https://www.anthropic.com/news/alignment-faking,blog_post,misalignment,Alignment Faking & Scheming,"alignment-faking, Anthropic",,2024-12-18,
Anti-Scheming_9ff2d5f5.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Anti-Scheming,https://antischeming.ai/,blog_post,misalignment,"Alignment Faking & Scheming, AI Evaluations & Benchmarks","scheming, OpenAI",Bronson Schoen; Evgenia Nitishinskaya; Mikita Balesni; Axel Højmark; Felix Hofstätter; Jérémy Scheurer; Alexander Meinke; Jason Wolfe; Teun van der Weij; Alex Lloyd; Nicholas Goldowsky-Dill; Angela Fan; Andrei Matveiakin; Rusheb Shah; Marcus Williams; Amelia Glaese; Boaz Barak; Wojciech Zaremba; Marius Hobbhahn,2025-09-17,"Apollo Research & OpenAI find that anti-scheming training in frontier AI models significantly reduced covert behaviours, but did not eliminate them."
Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Exclusive: New Research Shows AI Strategically Lying,https://time.com/7202784/ai-research-strategic-lying,blog_post,misalignment,"Alignment Faking & Scheming, AI Evaluations & Benchmarks","alignment-faking, deception, dangerous-capabilities, Anthropic, OpenAI",Billy Perrigo,2024-12-18,"Experiments by Anthropic and Redwood Research show how Anthropic's model, Claude, is capable of strategic deceit"
Frontier_Models_are_Capable_of_In-Context_Scheming_Apollo_Research_f8ac8583.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Frontier Models are Capable of In-Context Scheming – Apollo Research,https://www.apolloresearch.ai/research/scheming-reasoning-evaluations,blog_post,misalignment,"Alignment Faking & Scheming, AI Evaluations & Benchmarks","scheming, evaluations",,2026-04-21,We evaluated six frontier models for in-context scheming capabilities. We found that multiple frontier models are capable of in-context scheming when strongly nudged to pursue a goal.
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Introducing the Anthropic Fellows Program for AI Safety Research,https://alignment.anthropic.com/2024/anthropic-fellows-program,blog_post,"misuse, misalignment","RLHF & Its Limitations, Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, sleeper-agents, reward-modeling, scalable-oversight, evaluations, dangerous-capabilities, chain-of-thought, RSP, Anthropic, robustness",,2025-01-20,
Language_Models_Model_Us_fc67c38f.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Language Models Model Us,https://www.lesswrong.com/posts/dLg7CyeTE4pqbbcnp/language-models-model-us,blog_post,misalignment,"Alignment Faking & Scheming, Existential Risk & Superintelligence, AI Evaluations & Benchmarks",deception,Eggsyntax,2024-05-17,
New_Tests_Reveal_AIs_Capacity_for_Deception_c3258560.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,New Tests Reveal AI's Capacity for Deception,https://time.com/7202312/new-tests-reveal-ai-capacity-for-deception,blog_post,misalignment,"Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks",deception,Tharin Pillay,2024-12-15,"A paper by Apollo Research found that in certain contrived scenarios, AI systems can engage in deceptive behavior."
