filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
2025_Informed_the_year_of_Agentic_AI_-_TechInformed_d93fca7b.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,2025 Informed: the year of Agentic AI - TechInformed,https://techinformed.com/2025-informed-the-year-of-agentic-ai,blog_post,misalignment,Agentic Misalignment,agentic-AI,Nicole Deslandes,2025-01-11,"Hailed by many as a 'rising star' in technology, industry leaders share their insights on the future of Agentic AI"
A_Basic_Systems_Architecture_For_AI_Agents_That_Do_f3b729eb.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,A Basic Systems Architecture For AI Agents That Do,https://www.lesswrong.com/posts/6cWgaaxWqGYwJs3vj/a-basic-systems-architecture-for-ai-agents-that-do,blog_post,misalignment,"AI Evaluations & Benchmarks, Agentic Misalignment","evaluations, autonomous-systems, Anthropic, METR",Buck,2024-09-23,
Agentic_Misalignment_Appendix_0480ae04.pdf,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Agentic Misalignment Appendix,,research_paper,misalignment,Agentic Misalignment,"agentic-AI, Anthropic",,,
Agentic_Misalignment_Appendix_8d445219.pdf,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Agentic Misalignment Appendix,,research_paper,misalignment,Agentic Misalignment,"agentic-AI, Anthropic",,,
Announcements_0f14dddf.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Claude Opus 4.7,https://www.anthropic.com/claude/opus,blog_post,mistakes,"Agentic Misalignment, AI Evaluations & Benchmarks, Responsible Scaling Policies","evaluations, benchmarks, RSP, model-card, agentic-AI, Anthropic, Google",,2026-04-16,
Anthropics_Frontier_Safety_Roadmap_c71576a7.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Anthropic's Frontier Safety Roadmap,https://anthropic.com/responsible-scaling-policy/roadmap,blog_post,misuse,"AI Evaluations & Benchmarks, Responsible Scaling Policies, Agentic Misalignment","red-teaming, RSP, responsible-scaling, ASL, autonomous-systems, Anthropic, jailbreaking",,2023-11-03,
Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",https://www.anthropic.com/news/3-5-models-and-computer-use,blog_post,misalignment,"Agentic Misalignment, AI Evaluations & Benchmarks, Responsible Scaling Policies","evaluations, benchmarks, RSP, responsible-scaling, ASL, catastrophic-risk, agentic-AI, tool-use, autonomous-systems, Anthropic",,2024-10-16,
Official_Leaderboards_cf42ebe4.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Official Leaderboards,https://www.swebench.com/,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks, Agentic Misalignment","evaluations, Anthropic, OpenAI, open-source",,2024-03-01,
Shell_Games_Control_Protocols_for_Adversarial_AI_Agents_bd1bfcb4.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Shell Games: Control Protocols for Adversarial AI Agents,https://openreview.net/forum?id=oycEeFXX74,blog_post,misalignment,"Agentic Misalignment, Existential Risk & Superintelligence","tool-use, adversarial",Aryan Bhatt; Cody Rushing; Adam Kaufman; Vasil Georgiev; Tyler Tracy; Akbir Khan; Buck Shlegeris,2024-11-27,"As more powerful AI agents are deployed with greater tool use and autonomy, it will become increasingly important to ensure they cannot take severely damaging actions. Recent work introduced..."
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,TIME100 AI 2024: Yoshua Bengio,https://time.com/7012890/yoshua-bengio-2,blog_post,misuse,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies, Agentic Misalignment","biorisk, bioweapons, cyber-offense, disinformation, RSP, regulation, existential-risk, catastrophic-risk, autonomous-systems",Tharin Pillay,2024-09-05,Find out why Yoshua Bengio made TIME’s list of the most influential people in artificial intelligence
