filename,folder,source_type,risk_category,wiki_concepts,tags,confidence,reason
102_1a2f19d2.md,AI Safety,blog_post,misalignment,,,low,default rules
112_726c5d45.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
116_294b0039.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,scheming,medium,concepts=Alignment Faking & Scheming; tags=1
119_a4a84e19.md,Evaluation,blog_post,misalignment,RLHF & Its Limitations|AI Evaluations & Benchmarks,RLHF,medium,"concepts=RLHF & Its Limitations,AI Evaluations & Benchmarks; tags=1"
143_11a0e906.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence,medium,concepts=Existential Risk & Superintelligence; tags=1
159_fc67c38f.md,AI Safety,blog_post,misalignment,,,low,default rules
16-634_8ed13555.pdf,AI Risk Mitigation,research_paper,misalignment,,autonomous-systems,low,tags=1
161_b497a748.md,AI Safety,blog_post,misalignment,,catastrophic-risk,low,tags=1
189_b6e771eb.md,AI Safety,blog_post,misalignment,,catastrophic-risk,low,tags=1
190_f3b729eb.md,AI Safety,blog_post,misalignment,,autonomous-systems,low,tags=1
2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,AI Safety,blog_post,misalignment,,,low,default rules
2025-05-announcement.html_43e2e365.md,AI Risk Mitigation,blog_post,misalignment,Scalable Oversight,shutdown-resistance,medium,concepts=Scalable Oversight; tags=1
2025-08-20-xai-risk-management-framework_c9093de6.pdf,Evaluation,research_paper,misuse,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
2025.02.20-RMF-Draft_88bb0c85.pdf,AI Safety,research_paper,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
2025_Informed_the_year_of_Agentic_AI_-_TechInformed_d93fca7b.md,AI Safety,blog_post,misalignment,Agentic Misalignment,agentic-AI,medium,concepts=Agentic Misalignment; tags=1
215_8c00ba40.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,Google,medium,concepts=Existential Risk & Superintelligence; tags=1
221_56f53f26.md,AI Safety,blog_post,misalignment,,,low,default rules
222_9c90fe79.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
226_9b066c2d.md,AI Safety,blog_post,misalignment,,,low,default rules
230_fb033cda.md,Model-level Mitigation,blog_post,misalignment,Weak-to-Strong Generalization,,medium,concepts=Weak-to-Strong Generalization
254_5f282ae9.md,AI Safety,blog_post,misalignment,,inner-alignment,low,tags=1
281_ec170c80.md,AI Safety,blog_post,misalignment,,,low,default rules
287_aa6f98d1.md,AI Safety,blog_post,misalignment,,,low,default rules
290_fdd1fc9a.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,existential-risk,medium,concepts=Existential Risk & Superintelligence; tags=1
293_5e45579a.md,AI Safety,blog_post,misalignment,,,low,default rules
301_60c3e5f2.md,AI Safety,blog_post,misalignment,,,low,default rules
323_f8334cba.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
374_478b16f1.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations|Existential Risk & Superintelligence,,medium,"concepts=RLHF & Its Limitations,Existential Risk & Superintelligence"
418_ba1b2e50.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
452_758831b4.md,AI Safety,blog_post,misalignment,,,low,default rules
458_cf90fc1b.md,AI Safety,blog_post,misalignment,,,low,default rules
5c04925674920eb58467fb52ce4ef728-Paper_116a2200.pdf,Evaluation,research_paper,misalignment,Scalable Oversight|AI Evaluations & Benchmarks,,medium,"concepts=Scalable Oversight,AI Evaluations & Benchmarks"
AI-Facilitated-Biological-Weapon-Development-Website-Copy-1_71886173.pdf,AI Risk Mitigation,research_paper,misalignment,,bioweapons,low,tags=1
AI_Alignment_57150640.md,AI Safety,educational,misalignment,,,low,default rules
AI_Alignment_72dc2650.md,AI Safety,educational,misalignment,,,low,default rules
AI_Alignment_9c5918bf.md,AI Safety,educational,misalignment,,,low,default rules
AI_Alignment_dbe0a694.md,AI Safety,educational,misalignment,,,low,default rules
AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,AI Safety,blog_post,misalignment,,,low,default rules
AI_Models_Are_Getting_Smarter._New_Tests_Are_Racing_to_Catch_Up_d39691cc.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
AI_R_D_Evaluation_Report_bf70e565.pdf,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
AI_Timelines_Where_the_Arguments_and_the_Experts_Stand_317e7efd.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
AI_automated_discrimination._Heres_how_to_spot_it._97d7d082.md,AI Safety,blog_post,misalignment,,,low,default rules
AI_jailbreaks_What_they_are_and_how_they_can_be_mitigated_Microsoft_Security_Blog_4cf43e3b.md,AI Safety,blog_post,misuse,,jailbreaking,low,tags=1
AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,AI Safety,blog_post,misuse,,bioweapons,low,tags=1
ATTCK_Matrix_for_Enterprise_90bbfb5d.md,AI Safety,blog_post,misalignment,,,low,default rules
A_Mathematical_Framework_for_Transformer_Circuits_928c3b5b.md,AI Safety,blog_post,misalignment,,interpretability|mechanistic-interpretability,medium,tags=2
A_Toy_Evaluation_of_Inference_Code_Tampering_67e62168.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|Anthropic,high,concepts=AI Evaluations & Benchmarks; tags=2
A_new_initiative_for_developing_third-party_model_evaluations_b5216eaa.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|Anthropic,high,concepts=AI Evaluations & Benchmarks; tags=2
Activating_AI_Safety_Level_3_protections_3774cdbe.md,RSP,policy,structural,Responsible Scaling Policies,RSP|responsible-scaling|ASL|Anthropic,high,concepts=Responsible Scaling Policies; tags=4
Advanced_AI_evaluations_at_AISI_May_update_AISI_Work_91e3c569.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
Advances_in_CRISPR_therapeutics_-_Nature_Reviews_Nephrology_eb101748.md,AI Safety,blog_post,misalignment,,,low,default rules
Agentic_Misalignment_Appendix_0480ae04.pdf,AI Risk Mitigation,research_paper,misalignment,Agentic Misalignment,agentic-AI|Anthropic,high,concepts=Agentic Misalignment; tags=2
Agentic_Misalignment_Appendix_8d445219.pdf,AI Risk Mitigation,research_paper,misalignment,Agentic Misalignment,agentic-AI|Anthropic,high,concepts=Agentic Misalignment; tags=2
Alignment-Faking-Policy-Memo_d6079e02.pdf,AI Alignment,research_paper,misalignment,Alignment Faking & Scheming|Existential Risk & Superintelligence,alignment-faking|Anthropic,high,"concepts=Alignment Faking & Scheming,Existential Risk & Superintelligence; tags=2"
Alignment-Faking-in-Large-Language-Models-reviews_731573a2.pdf,AI Alignment,research_paper,misalignment,Alignment Faking & Scheming,alignment-faking|Anthropic,high,concepts=Alignment Faking & Scheming; tags=2
Alignment_Research_Center_62b91b1b.md,AI Safety,blog_post,misalignment,,ARC,low,tags=1
Alignment_faking_in_large_language_models_3d7e3773.md,AI Alignment,blog_post,misalignment,Alignment Faking & Scheming,alignment-faking|Anthropic,high,concepts=Alignment Faking & Scheming; tags=2
All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,AI Safety,blog_post,misalignment,,,low,default rules
AlphaGo_-_Wikipedia_b8fb4193.md,AI Safety,blog_post,misalignment,,DeepMind|Google,medium,tags=2
AlphaProteo_generates_novel_proteins_for_biology_and_health_research_887b199e.md,AI Safety,blog_post,misalignment,,DeepMind|Google,medium,tags=2
An_Opinionated_Evals_Reading_List_Apollo_Research_318f07f1.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Announcements_0f14dddf.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Announcing_our_updated_Responsible_Scaling_Policy_3a0b4572.md,RSP,policy,structural,Responsible Scaling Policies,RSP|responsible-scaling|governance|catastrophic-risk|Anthropic,high,concepts=Responsible Scaling Policies; tags=5
Anson_Ho_ed0b588b.md,AI Safety,blog_post,misalignment,,,low,default rules
Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,AI Safety,blog_post,misalignment,,,low,default rules
Anthropic_Raises_450_Million_in_Series_C_Funding_to_Scale_Reliable_AI_Products_ac35f548.md,AI Safety,blog_post,misalignment,,Anthropic|interpretability,medium,tags=2
Anthropics_Frontier_Safety_Roadmap_c71576a7.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Anthropics_Responsible_Scaling_Policy_274b3659.md,RSP,policy,structural,Responsible Scaling Policies,RSP|responsible-scaling|Anthropic,high,concepts=Responsible Scaling Policies; tags=3
Anthropics_Responsible_Scaling_Policy_7e83d9fc.md,RSP,policy,structural,Responsible Scaling Policies,RSP|responsible-scaling|Anthropic,high,concepts=Responsible Scaling Policies; tags=3
