old_path,new_path,reason
AI Safety/Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,01_Existential-Risk/Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,fallback by old folder (AI Safety)
AI Safety/What_Multipolar_Failure_Looks_Like_And_Robust_Agent_Agnostic_fdd1fc9a.md,01_Existential-Risk/What_Multipolar_Failure_Looks_Like_And_Robust_Agent_Agnostic_fdd1fc9a.md,concept=Existential Risk
AI Safety/Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,01_Existential-Risk/Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,concept=Existential Risk
AI Safety/IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,01_Existential-Risk/IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,concept=Existential Risk
AI Safety/Why_the_Godfather_of_A.I._Fears_What_Hes_Built_0d17111a.md,01_Existential-Risk/Why_the_Godfather_of_A.I._Fears_What_Hes_Built_0d17111a.md,fallback by old folder (AI Safety)
AI Safety/AI Could Defeat All Of Us Combined.md,01_Existential-Risk/AI Could Defeat All Of Us Combined.md,fallback by old folder (AI Safety)
AI Safety/External_validity_-_Wikipedia_c3e552b8.md,01_Existential-Risk/External_validity_-_Wikipedia_c3e552b8.md,fallback by old folder (AI Safety)
AI Safety/Statement on Superintelligence.md,01_Existential-Risk/Statement on Superintelligence.md,source_type=petition
AI Safety/It_Looks_Like_You_Re_Trying_To_Take_Over_The_World_ba1b2e50.md,01_Existential-Risk/It_Looks_Like_You_Re_Trying_To_Take_Over_The_World_ba1b2e50.md,concept=Existential Risk
AI Safety/Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,01_Existential-Risk/Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,fallback by old folder (AI Safety)
AI Safety/Introducing_the_Frontier_Safety_Framework_4380930c.md,02_AGI-Capability-and-Forecasting/Introducing_the_Frontier_Safety_Framework_4380930c.md,capability landmark filename=Frontier_Safety_Framework
AI Safety/RAND_Global_and_Emerging_Risks_28d3042c.md,01_Existential-Risk/RAND_Global_and_Emerging_Risks_28d3042c.md,fallback by old folder (AI Safety)
AI Safety/Statement_on_AI_Risk_CAIS_0b044cb6.md,01_Existential-Risk/Statement_on_AI_Risk_CAIS_0b044cb6.md,concept=Existential Risk
AI Safety/Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,01_Existential-Risk/Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,fallback by old folder (AI Safety)
AI Safety/Anthropic_Raises_450_Million_in_Series_C_Funding_to_Scale_Reliable_AI_Products_ac35f548.md,14_Interpretability/Anthropic_Raises_450_Million_in_Series_C_Funding_to_Scale_Reliable_AI_Products_ac35f548.md,interpretability tag
AI Safety/If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,01_Existential-Risk/If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,fallback by old folder (AI Safety)
AI Safety/Confidential_computing_-_Wikipedia_8466b72c.md,01_Existential-Risk/Confidential_computing_-_Wikipedia_8466b72c.md,fallback by old folder (AI Safety)
AI Safety/Lump_of_labour_fallacy_-_Wikipedia_be3ef851.md,01_Existential-Risk/Lump_of_labour_fallacy_-_Wikipedia_be3ef851.md,fallback by old folder (AI Safety)
AI Safety/Roth_v._United_States_-_Wikipedia_82972646.md,01_Existential-Risk/Roth_v._United_States_-_Wikipedia_82972646.md,fallback by old folder (AI Safety)
AI Safety/Six_Dimensions_Of_Operational_Adequacy_In_AGI_Projects_f8334cba.md,01_Existential-Risk/Six_Dimensions_Of_Operational_Adequacy_In_AGI_Projects_f8334cba.md,concept=Existential Risk
AI Safety/Baruch_Plan_-_Wikipedia_20604dc4.md,01_Existential-Risk/Baruch_Plan_-_Wikipedia_20604dc4.md,fallback by old folder (AI Safety)
AI Safety/LESSWRONG_f945d0f4.md,01_Existential-Risk/LESSWRONG_f945d0f4.md,concept=Existential Risk
AI Safety/Privacy_Notice_80f27f3c.md,01_Existential-Risk/Privacy_Notice_80f27f3c.md,fallback by old folder (AI Safety)
AI Safety/Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,01_Existential-Risk/Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,fallback by old folder (AI Safety)
AI Safety/Expansion_microscopy_-_Wikipedia_42b2892c.md,01_Existential-Risk/Expansion_microscopy_-_Wikipedia_42b2892c.md,fallback by old folder (AI Safety)
AI Safety/The_CIFAR-10_dataset_857ecb19.md,01_Existential-Risk/The_CIFAR-10_dataset_857ecb19.md,fallback by old folder (AI Safety)
AI Safety/Nobodys_on_the_ball_on_AGI_alignment_4021700d.md,01_Existential-Risk/Nobodys_on_the_ball_on_AGI_alignment_4021700d.md,concept=Existential Risk
AI Safety/Secretary_of_State_speech_at_CogX_Festival_3ceb7a55.md,01_Existential-Risk/Secretary_of_State_speech_at_CogX_Festival_3ceb7a55.md,fallback by old folder (AI Safety)
AI Safety/John_D._Morley_b9ea4300.md,16_Governance-and-Policy/John_D._Morley_b9ea4300.md,governance tag
AI Safety/What failure looks like — AI Alignment Forum.md,01_Existential-Risk/What failure looks like — AI Alignment Forum.md,fallback by old folder (AI Safety)
AI Safety/How_Could_We_Know_That_An_AGI_System_Will_Have_Good_726c5d45.md,01_Existential-Risk/How_Could_We_Know_That_An_AGI_System_Will_Have_Good_726c5d45.md,concept=Existential Risk
AI Safety/Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,01_Existential-Risk/Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,fallback by old folder (AI Safety)
AI Safety/LESSWRONG_ee64d13a.md,01_Existential-Risk/LESSWRONG_ee64d13a.md,concept=Existential Risk
AI Safety/Two_US_lawyers_fined_for_submitting_fake_court_citations_from_ChatGPT_c4a26fae.md,01_Existential-Risk/Two_US_lawyers_fined_for_submitting_fake_court_citations_from_ChatGPT_c4a26fae.md,fallback by old folder (AI Safety)
AI Safety/Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,01_Existential-Risk/Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,fallback by old folder (AI Safety)
