from,reason,status,substring,to
03_Evaluations/03e_Other-Evaluations/Bayes_factor_-_Wikipedia_2aa0afd6.md,"math/stats Wikipedia, not actual eval research",ok,Bayes_factor_-_Wikipedia,05_Resources/05b_Sources-Background/Bayes_factor_-_Wikipedia_2aa0afd6.md
03_Evaluations/03e_Other-Evaluations/BLEU_-_Wikipedia_1eb08290.md,Wikipedia on translation metric — background reference,ok,BLEU_-_Wikipedia,05_Resources/05b_Sources-Background/BLEU_-_Wikipedia_1eb08290.md
03_Evaluations/03e_Other-Evaluations/Goodharts_law_-_Wikipedia_d425846f.md,Wikipedia on Goodhart's law — background concept reference,ok,Goodharts_law_-_Wikipedia,05_Resources/05b_Sources-Background/Goodharts_law_-_Wikipedia_d425846f.md
03_Evaluations/03e_Other-Evaluations/KullbackLeibler_divergence_-_Wikipedia_f9bd8e99.md,math background,ok,KullbackLeibler_divergence_-_Wikipedia,05_Resources/05b_Sources-Background/KullbackLeibler_divergence_-_Wikipedia_f9bd8e99.md
03_Evaluations/03e_Other-Evaluations/Statistical_hypothesis_test_-_Wikipedia_391af5d7.md,stats background,ok,Statistical_hypothesis_test_-_Wikipedia,05_Resources/05b_Sources-Background/Statistical_hypothesis_test_-_Wikipedia_391af5d7.md
03_Evaluations/03e_Other-Evaluations/Tit_for_tat_-_Wikipedia_99757fe1.md,game theory background,ok,Tit_for_tat_-_Wikipedia,05_Resources/05b_Sources-Background/Tit_for_tat_-_Wikipedia_99757fe1.md
03_Evaluations/03e_Other-Evaluations/Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,biology paper (Nature) — background reference for biorisk discussion,ok,Gene_drives_gaining_speed,05_Resources/05b_Sources-Background/Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md
03_Evaluations/03e_Other-Evaluations/HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,"CERN/particle physics — background, not AI evals",ok,HiLumi_LHC,05_Resources/05b_Sources-Background/HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md
03_Evaluations/03e_Other-Evaluations/Whole-genome_risk_prediction_of_common_diseases_in_human_preimplantation_embryos_-_Nature_Medicine_085889be.md,biology paper — background reference,ok,Whole-genome_risk_prediction,05_Resources/05b_Sources-Background/Whole-genome_risk_prediction_of_common_diseases_in_human_preimplantation_embryos_-_Nature_Medicine_085889be.md
03_Evaluations/03e_Other-Evaluations/Harry_Mayne_1493ede0.md,researcher homepage stub,ok,Harry_Mayne,05_Resources/05b_Sources-Background/Harry_Mayne_1493ede0.md
03_Evaluations/03e_Other-Evaluations/Anson_Ho_ed0b588b.md,Epoch AI researcher profile,ok,Anson_Ho_,05_Resources/05b_Sources-Background/Anson_Ho_ed0b588b.md
03_Evaluations/03e_Other-Evaluations/pstone_0a2a5014.md,academic homepage with paper list,ok,pstone,05_Resources/05b_Sources-Background/pstone_0a2a5014.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Externality_-_Wikipedia_9530d9ad.md,economics Wikipedia,ok,Externality_-_Wikipedia,05_Resources/05b_Sources-Background/Externality_-_Wikipedia_9530d9ad.md
