src,dst,group,reason,status
05_Resources/05a_Educational/Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,_dupes_2026-04-27/05_Resources/05a_Educational/Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,Future of AI Course (BlueDot),winner=Future_of_AI_Course_BlueDot_Impact_100477de.md,moved
05_Resources/05a_Educational/Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,_dupes_2026-04-27/05_Resources/05a_Educational/Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,Future of AI Course (BlueDot),winner=Future_of_AI_Course_BlueDot_Impact_100477de.md,moved
04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks/Anthropics_Responsible_Scaling_Policy_dc72fbff.md,_dupes_2026-04-27/04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks/Anthropics_Responsible_Scaling_Policy_dc72fbff.md,Anthropic's RSP (Dec 2023),winner=Anthropics_Responsible_Scaling_Policy_274b3659.md (mirror of /news/ -> /index/),moved
01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_3943efdd.md,_dupes_2026-04-27/01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_3943efdd.md,Statement on AI Risk (CAIS),winner=Statement_on_AI_Risk_CAIS_0b044cb6.md (canonical /statement-on-ai-risk URL),moved
01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_a5ac984d.md,_dupes_2026-04-27/01_Risks-and-Failure-Modes/01a_Existential-Risk/Statement_on_AI_Risk_CAIS_a5ac984d.md,Statement on AI Risk (CAIS),winner=Statement_on_AI_Risk_CAIS_0b044cb6.md (canonical URL),moved
02_Mitigations-and-Methods/02f_Interpretability/Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_7defe513.md,_dupes_2026-04-27/02_Mitigations-and-Methods/02f_Interpretability/Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_7defe513.md,Sleeper Agents (Anthropic),winner=01c_Alignment-Faking-Scheming/Sleeper_Agents_..._2dc73751.md (correct topic folder),moved
02_Mitigations-and-Methods/02f_Interpretability/Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,_dupes_2026-04-27/02_Mitigations-and-Methods/02f_Interpretability/Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,Core Views on AI Safety,winner=Core_Views_on_AI_Safety_..._8c7fd668.md (/news/ canonical),moved
01_Risks-and-Failure-Modes/01a_Existential-Risk/Dario Amodei — Machines of Loving Grace.md,_dupes_2026-04-27/01_Risks-and-Failure-Modes/01a_Existential-Risk/Dario Amodei — Machines of Loving Grace.md,Dario Amodei (Machines of Loving Grace),winner=02c_Scalable-Oversight/Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md (richer metadata),moved
02_Mitigations-and-Methods/02c_Scalable-Oversight/AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,_dupes_2026-04-27/02_Mitigations-and-Methods/02c_Scalable-Oversight/AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,AI Could Defeat All Of Us Combined (Karnofsky),winner=01a_Existential-Risk/AI Could Defeat All Of Us Combined.md (correct topic folder),moved
01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,_dupes_2026-04-27/01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,Why Would AI Aim To Defeat Humanity (Karnofsky),"winner=01a_Existential-Risk/Why Would AI ""Aim"" To Defeat Humanity?.md",moved
01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Alignment faking in large language models.md,_dupes_2026-04-27/01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Alignment faking in large language models.md,Alignment Faking in LLMs (Anthropic),"winner=Alignment_faking_in_large_language_models_3d7e3773.md (richer metadata, same paper)",moved
