filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,All Possible Views About Humanity's Future Are Wild,https://www.cold-takes.com/all-possible-views-about-humanitys-future-are-wild,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence","x-risk, AGI",Holden Karnofsky,2021-07-13,We seem to be among the earliest living beings in the galaxy.
CERN_for_AI_An_overview_ad031a5f.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,CERN for AI: An overview,https://machinocene.substack.com/p/cern-for-ai-an-overview,blog_post,misuse,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","governance, open-source",Kevin Kohler,2024-05-07,"“I look with envy at my peers in high-energy physics, and in particular at CERN, the European Organization for Nuclear Research, a huge, international collaboration, with thousands of scientists and billions of dollars of funding."
Embedded_Agency_Full_Text_Version_9c90fe79.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Embedded Agency Full Text Version,https://www.lesswrong.com/posts/i3BTagvt3HbPMx6PN/embedded-agency-full-text-version,blog_post,misalignment,RLHF & Its Limitations,,Scott Garrabrant; Abramdemski,2018-11-15,
LESSWRONG_d0aef86c.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/PY3HEHc5fMQkTrQo4/beware-safety-washing,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence",,Lizka,2023-01-13,
Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,"Safety engineering, target selection, and alignment theory - Machine Intelligence Research Institute",https://intelligence.org/2015/12/31/safety-engineering-target-selection-and-alignment-theory,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence",,Nate Soares,2015-12-31,Artificial intelligence capabilities research is aimed at making computer systems more intelligent — able to solve a wider range of problems more effectively
The_Duplicator_e65d0141.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,The Duplicator,https://www.cold-takes.com/the-duplicator,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence","x-risk, AGI",Holden Karnofsky,2021-07-20,"If people could be insta-copied, economic growth would explode."
What_Failure_Looks_Like_758831b4.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,What Failure Looks Like,https://www.lesswrong.com/posts/HBxe6wdjxK239zajf/what-failure-looks-like,blog_post,misuse,RLHF & Its Limitations,persuasion,Paulfchristiano,2019-03-17,
Without_Fundamental_Advances_Misalignment_And_Catastrophe_b497a748.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Without Fundamental Advances Misalignment And Catastrophe,https://www.lesswrong.com/posts/GfZfDHZHCuYwrHGCd/without-fundamental-advances-misalignment-and-catastrophe,blog_post,misalignment,RLHF & Its Limitations,"inner-alignment, catastrophic-risk",Jeremy Gillen; Peterbarnett,2024-01-26,
Without_Specific_Countermeasures_The_Easiest_Path_To_478b16f1.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Without Specific Countermeasures The Easiest Path To,https://www.lesswrong.com/posts/pRkFkzwKZ2zfa3R6H/without-specific-countermeasures-the-easiest-path-to,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence",,Ajeya Cotra,2022-07-18,
John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md,01_Risks-and-Failure-Modes/01b_AGI-Capability-and-Forecasting,"John Schulman (OpenAI Cofounder) - Reasoning, RLHF, & Plan for 2027 AGI",https://www.dwarkeshpatel.com/p/john-schulman,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence","RLHF, AGI, OpenAI",Dwarkesh Patel,2024-05-15,"Watch now | Chatted with John Schulman (cofounded OpenAI and led ChatGPT creation) on: How post-training tames the shoggoth & enabled GPT-4o AI coworkers in 1-2 years The plan if AGI comes in 2025 Reasoning traces, long horizon RL, & multimodal agents Plateaus & moats"
Another_Outer_Alignment_Failure_Story_5f282ae9.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Another Outer Alignment Failure Story,https://www.lesswrong.com/posts/AyNHoTWWAJ5eb99ji/another-outer-alignment-failure-story,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks","inner-alignment, robustness",Paulfchristiano,2021-04-07,
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Introducing the Anthropic Fellows Program for AI Safety Research,https://alignment.anthropic.com/2024/anthropic-fellows-program,blog_post,"misuse, misalignment","RLHF & Its Limitations, Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, sleeper-agents, reward-modeling, scalable-oversight, evaluations, dangerous-capabilities, chain-of-thought, RSP, Anthropic, robustness",,2025-01-20,
Training_AI_Agents_To_Solve_Hard_Problems_Could_Lead_To_b7040c0e.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Training AI Agents To Solve Hard Problems Could Lead To,https://www.lesswrong.com/posts/QqYfxeogtatKotyEC/training-ai-agents-to-solve-hard-problems-could-lead-to,blog_post,misalignment,"RLHF & Its Limitations, Constitutional AI (RLAIF), Alignment Faking & Scheming, Existential Risk & Superintelligence","scheming, deception, deceptive-alignment, sleeper-agents, sycophancy, RLHF, RLAIF, chain-of-thought, catastrophic-risk, robustness",Marius Hobbhahn; AlexMeinke,2024-11-19,
Official_Leaderboards_cf42ebe4.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Official Leaderboards,https://www.swebench.com/,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks, Agentic Misalignment","evaluations, Anthropic, OpenAI, open-source",,2024-03-01,
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,TIME100 AI 2024: Yoshua Bengio,https://time.com/7012890/yoshua-bengio-2,blog_post,misuse,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies, Agentic Misalignment","biorisk, bioweapons, cyber-offense, disinformation, RSP, regulation, existential-risk, catastrophic-risk, autonomous-systems",Tharin Pillay,2024-09-05,Find out why Yoshua Bengio made TIME’s list of the most influential people in artificial intelligence
