document,url,line
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://course.aisafetyfundamentals.com/alignment?session=4,28
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://aisafetyfundamentals.com/blog/what-is-ai-alignment/,32
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,"https://openai.com/research/learning-from-human-preferences#:~:text=Our%20algorithm%E2%80%99s%20performance,as%20shown%C2%A0below",36
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.theguardian.com/technology/2023/jun/23/two-us-lawyers-fined-submitting-fake-court-citations-chatgpt#:~:text=ChatGPT%2C%20a%20chatbot%20that%20churns%20out%20plausible%20text%20responses%20to%20human%20prompts%2C%20invented%20six%20cases%20he%20referred%20to%20in%20a%20legal%20brief,36
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.scmagazine.com/news/ai-package-hallucination-malicious-code-developer-environments#:~:text=Large%2Dlanguage%20models%20\(LLMs\,36
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2308.14752.pdf#page=6,36
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2212.09251.pdf#page=10,38
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.alignmentforum.org/posts/vhfATmAoJcN8RqGg6/a-guide-to-iterated-amplification-and-debate#4__Factored_Cognition,54
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://openai.com/research/summarizing-books,62
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2201.11903.pdf,64
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/1705.08439.pdf,66
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.cognition-labs.com/introducing-devin,68
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/1810.08575.pdf,70
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://course.aisafetyfundamentals.com/alignment?session=3&scrollTo=exercises,76
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style,76
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/1811.07871.pdf#page=7,82
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://openai.com/research/critiques,82
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://aligned.substack.com/p/alignment-optimism,82
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://aligned.substack.com/p/combining-w2sg-with-scalable-oversight,82
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://course.aisafetyfundamentals.com/alignment?session=3,86
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.anthropic.com/news/claudes-constitution#:~:text=Please,86
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2212.08073.pdf,90
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.youtube.com/watch?v=SLgZhpDsrfc,102
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://www.alignmentforum.org/posts/PJLABqQ962hZEqhdB/debate-update-obfuscated-arguments-problem,106
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/1805.00899.pdf,110
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2311.14125.pdf,110
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://arxiv.org/pdf/2402.06782.pdf,110
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://garrisonlovely.substack.com/p/claude-doesnt-want-to-die,136
AI Risk Mitigation/Can we scale human feedback for complex AI tasks? An intro to scalable oversight..md,https://bluedot.org/contact,141
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2311.12022,58
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://www.anthropic.com/news/a-new-initiative-for-developing-third-party-model-evaluations,62
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models,81
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2412.14093,82
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2406.07358v2,82
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2310.13548,97
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2407.04694,99
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://transluce.org/observability-interface#example-2,100
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2406.04341,102
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://transformer-circuits.pub/,104
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2201.11903,108
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.13787,109
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2403.10949,109
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2401.06102,109
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.05629v1,109
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2412.08686,109
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://proceedings.neurips.cc/paper_files/paper/2023/file/ed3fea9033a80fea1376299fa7863f4a-Paper-Conference.pdf,123
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2307.13702,123
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.12747,123
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2307.11768,123
