filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Introducing the Anthropic Fellows Program for AI Safety Research,https://alignment.anthropic.com/2024/anthropic-fellows-program,blog_post,"misuse, misalignment","RLHF & Its Limitations, Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, sleeper-agents, reward-modeling, scalable-oversight, evaluations, dangerous-capabilities, chain-of-thought, RSP, Anthropic, robustness",,2025-01-20,
Announcements_0f14dddf.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Claude Opus 4.7,https://www.anthropic.com/claude/opus,blog_post,mistakes,"Agentic Misalignment, AI Evaluations & Benchmarks, Responsible Scaling Policies","evaluations, benchmarks, RSP, model-card, agentic-AI, Anthropic, Google",,2026-04-16,
Anthropics_Frontier_Safety_Roadmap_c71576a7.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Anthropic's Frontier Safety Roadmap,https://anthropic.com/responsible-scaling-policy/roadmap,blog_post,misuse,"AI Evaluations & Benchmarks, Responsible Scaling Policies, Agentic Misalignment","red-teaming, RSP, responsible-scaling, ASL, autonomous-systems, Anthropic, jailbreaking",,2023-11-03,
Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",https://www.anthropic.com/news/3-5-models-and-computer-use,blog_post,misalignment,"Agentic Misalignment, AI Evaluations & Benchmarks, Responsible Scaling Policies","evaluations, benchmarks, RSP, responsible-scaling, ASL, catastrophic-risk, agentic-AI, tool-use, autonomous-systems, Anthropic",,2024-10-16,
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,TIME100 AI 2024: Yoshua Bengio,https://time.com/7012890/yoshua-bengio-2,blog_post,misuse,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies, Agentic Misalignment","biorisk, bioweapons, cyber-offense, disinformation, RSP, regulation, existential-risk, catastrophic-risk, autonomous-systems",Tharin Pillay,2024-09-05,Find out why Yoshua Bengio made TIME’s list of the most influential people in artificial intelligence
Claudes_Constitution_5f2c1d85.md,02_Mitigations-and-Methods/02b_Constitutional-AI,Claude’s Constitution,https://www.anthropic.com/news/claudes-constitution,blog_post,misalignment,"RLHF & Its Limitations, Constitutional AI (RLAIF), Scalable Oversight, AI Evaluations & Benchmarks, Responsible Scaling Policies","Constitutional-AI, scalable-oversight, RSP, Anthropic, DeepMind, transparency, adversarial",,2023-12-18,
Reasons_that_AI_Can_Help_with_AI_Governance_56a98a0a.md,02_Mitigations-and-Methods/02b_Constitutional-AI,Reasons that AI Can Help with AI Governance,https://milesbrundage.substack.com/p/reasons-that-ai-can-help-with-ai,blog_post,misuse,"Constitutional AI (RLAIF), Existential Risk & Superintelligence, AI Evaluations & Benchmarks, Responsible Scaling Policies","Constitutional-AI, bioweapons, cyber-offense, disinformation, RSP, governance, Anthropic, OpenAI, open-source",Miles Brundage,2024-11-14,"How much it can help exactly is unclear, but AI is clearly a part of the solution to its own problems."
Locating_and_Editing_Factual_Associations_in_GPT_c596305d.md,02_Mitigations-and-Methods/02f_Interpretability,Locating and Editing Factual Associations in GPT,https://rome.baulab.info/,blog_post,misalignment,"AI Evaluations & Benchmarks, Responsible Scaling Policies",RSP,,2002-01-01,Cracking open the black box of huge autoregressive transformer neural network language models.
MATS_Research_fb0dee66.md,05_Resources/05a_Educational,MATS Research,https://www.matsprogram.org/,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, RSP, Anthropic, interpretability, mechanistic-interpretability, transparency",,2023-09-15,"The MATS Program is an independent research and educational seminar program that connects talented scholars with top mentors in the fields of AI alignment, governance, and security."
Pause_Giant_AI_Experiments_An_Open_Letter_-_Future_of_Life_Institute_d6f15827.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Pause Giant AI Experiments: An Open Letter - Future of Life Institute,https://futureoflife.org/open-letter/pause-giant-ai-experiments,petition,misalignment,"Existential Risk & Superintelligence, Responsible Scaling Policies","power-seeking, RSP, governance, regulation, x-risk, existential-risk, superintelligence, catastrophic-risk, OpenAI, interpretability",,2025-06-04,We call on all AI labs to immediately pause for at least 6 months the training of AI systems more powerful than GPT-4.
AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,"AI safety tip: if you don’t want it giving bioweapon instructions, maybe don’t put them in the training data, say researchers | Fortune",https://fortune.com/2025/08/14/worried-ai-could-teach-people-to-build-bioweapons-dont-teach-it-how-say-researchers,blog_post,misuse,"Scalable Oversight, Responsible Scaling Policies","bioweapons, cyber-offense, CBRN, model-card, Anthropic, OpenAI, Meta, open-source, open-weight",Sharon Goldman,2025-08-14,New research shows that scrubbing risky material from AI training data can build safeguards that are harder to bypass — and one author calls out tech giants for keeping such work under wraps.
