folder,filename,ext,title,concepts,tags,source_url,body_excerpt
01_Risks-and-Failure-Modes/01a_Existential-Risk,2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,.md,2015 : WHAT DO YOU THINK ABOUT MACHINES THAT THINK?,,,https://www.edge.org/response-detail/26243,Thomas Hobbes's pithy equation 'Reasoning is but reckoning' is one of the great ideas in human history. The notion that rationality can be accomplished by the physical process of calculation was vindi
01_Risks-and-Failure-Modes/01a_Existential-Risk,2025.02.20-RMF-Draft_88bb0c85.pdf,.pdf,2025.02.20-RMF-Draft,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,AI Could Defeat All Of Us Combined.md,.md,AI Could Defeat All Of Us Combined,,,https://www.cold-takes.com/ai-could-defeat-all-of-us-combined/?utm_source=bluedot-impact,<iframe src='https://www.buzzsprout.com/1851795/episodes/10749983-ai-could-defeat-all-of-us-combined?client_source=small_player&amp;iframe=true&amp;referrer=https://www.buzzsprout.com/1851795/10749983
01_Risks-and-Failure-Modes/01a_Existential-Risk,AI_Research_Considerations_for_Human_Existential_Safety_Andrew_Critch_1de6b0d8.pdf,.pdf,AI Research Considerations for Human Existential Safety Andrew Critch,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,AI_Timelines_Where_the_Arguments_and_the_Experts_Stand_317e7efd.md,.md,"AI Timelines: Where the Arguments, and the ""Experts,"" Stand",Existential Risk & Superintelligence,,https://www.cold-takes.com/where-ai-forecasting-stands-today,"This piece starts with a summary of when we should expect transformative AI to be developed, based on the multiple angles covered previously in the series. I think this is useful, even if you've read "
01_Risks-and-Failure-Modes/01a_Existential-Risk,AI_automated_discrimination._Heres_how_to_spot_it._97d7d082.md,.md,AI automated discrimination. Here’s how to spot it.,,,https://www.vox.com/technology/23738987/racism-ai-automated-bias-discrimination-algorithm,*Part of the **discrimination issue** of **The Highlight**. This story was produced in partnership with **Capital B**.* Say a computer and a human were pitted against each other in a battle for neutra
01_Risks-and-Failure-Modes/01a_Existential-Risk,ATTCK_Matrix_for_Enterprise_90bbfb5d.md,.md,ATT&CK Matrix for Enterprise,,,https://attack.mitre.org/,| | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | || | | = | | | = | || | | = | || | |
01_Risks-and-Failure-Modes/01a_Existential-Risk,An Approach to Technical AGI Safety and Security.md,.md,An Approach to Technical AGI Safety and Security,,,https://deepmindsafetyresearch.medium.com/an-approach-to-technical-agi-safety-and-security,"*We have written a* [*paper*](https://arxiv.org/abs/2504.01849) *on our approach to technical AGI safety and security. This post is a copy of the extended abstract, which summarizes the paper.* AI, an"
01_Risks-and-Failure-Modes/01a_Existential-Risk,An_Approach_to_Technical_AGI_Safety_and_Security_634415aa.pdf,.pdf,An Approach to Technical AGI Safety and Security,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,.md,Antagonistic pleiotropy hypothesis - Wikipedia,Existential Risk & Superintelligence,catastrophic-risk,https://en.wikipedia.org/wiki/Antagonistic_pleiotropy_hypothesis,The **antagonistic pleiotropy hypothesis** (APT) is a theory in [evolutionary biology](https://en.wikipedia.org/wiki/Evolutionary_biology) that suggests certain genes may confer beneficial effects ear
