filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
LESSWRONG_6e8fb49c.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/tbJdxJMAiehewGpq2/impressions-from-base-gpt-4?commentId%3DCemTb7c2gmwuSAwCC=,blog_post,misalignment,Scalable Oversight,"autonomous-systems, OpenAI",Mishka,2023-11-08,
LESSWRONG_d0aef86c.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/PY3HEHc5fMQkTrQo4/beware-safety-washing,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence",,Lizka,2023-01-13,
Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,01_Risks-and-Failure-Modes/01b_AGI-Capability-and-Forecasting,Highly accurate protein structure prediction with AlphaFold - Nature,https://www.nature.com/articles/s41586-021-03819-2,blog_post,misalignment,"Scalable Oversight, Existential Risk & Superintelligence",,Jumper; John; Evans; Richard; Pritzel; Alexander; Green; Tim; Figurnov; Michael; Ronneberger; Olaf; Tunyasuvunakool; Kathryn; Bates; Russ; Žídek; Augustin; Potapenko; Anna; Bridgland; Alex; Meyer; Clemens; Kohl; Simon A A; Ballard; Andrew J; Cowie; Andrew; Romera-Paredes; Bernardino; Nikolov; Stanislav; Jain; Rishub; Adler; Jonas; Back; Trevor; Petersen; Stig; Reiman; David; Clancy; Ellen; Zielinski; Michal; Steinegger; Martin; Pacholska; Berghammer; Tamas; Bodenstein; Sebastian; Silver; Vinyals; Oriol; Senior; Kavukcuoglu; Koray; Pushmeet; Hassabis; Demis,2021-07-15,AlphaFold predicts protein structures with an accuracy competitive with experimental structures in the majority of cases using a novel deep learning architecture.
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Introducing the Anthropic Fellows Program for AI Safety Research,https://alignment.anthropic.com/2024/anthropic-fellows-program,blog_post,"misuse, misalignment","RLHF & Its Limitations, Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, sleeper-agents, reward-modeling, scalable-oversight, evaluations, dangerous-capabilities, chain-of-thought, RSP, Anthropic, robustness",,2025-01-20,
New_Tests_Reveal_AIs_Capacity_for_Deception_c3258560.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,New Tests Reveal AI's Capacity for Deception,https://time.com/7202312/new-tests-reveal-ai-capacity-for-deception,blog_post,misalignment,"Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks",deception,Tharin Pillay,2024-12-15,"A paper by Apollo Research found that in certain contrived scenarios, AI systems can engage in deceptive behavior."
The_Case_For_Ensuring_That_Powerful_Ais_Are_Controlled_aa6f98d1.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,The Case For Ensuring That Powerful Ais Are Controlled,https://www.lesswrong.com/posts/kcKrE9mzEHrdqtDpE/the-case-for-ensuring-that-powerful-ais-are-controlled,blog_post,misalignment,"Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks","scheming, deception, deceptive-alignment, scalable-oversight, evaluations, catastrophic-risk, OpenAI",Ryan Greenblatt; Buck,2024-01-24,
TIME100_AI_2024_Yoshua_Bengio_1464b780.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,TIME100 AI 2024: Yoshua Bengio,https://time.com/7012890/yoshua-bengio-2,blog_post,misuse,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies, Agentic Misalignment","biorisk, bioweapons, cyber-offense, disinformation, RSP, regulation, existential-risk, catastrophic-risk, autonomous-systems",Tharin Pillay,2024-09-05,Find out why Yoshua Bengio made TIME’s list of the most influential people in artificial intelligence
Claudes_Constitution_5f2c1d85.md,02_Mitigations-and-Methods/02b_Constitutional-AI,Claude’s Constitution,https://www.anthropic.com/news/claudes-constitution,blog_post,misalignment,"RLHF & Its Limitations, Constitutional AI (RLAIF), Scalable Oversight, AI Evaluations & Benchmarks, Responsible Scaling Policies","Constitutional-AI, scalable-oversight, RSP, Anthropic, DeepMind, transparency, adversarial",,2023-12-18,
Noah_R._Feldman_-_Harvard_Law_School_c07b20cb.md,02_Mitigations-and-Methods/02b_Constitutional-AI,Noah R. Feldman - Harvard Law School,https://hls.harvard.edu/faculty/noah-r-feldman,blog_post,misalignment,"Scalable Oversight, Constitutional AI (RLAIF)",governance,,2026-04-23,"Noah Feldman is the Arthur Kingsley Porter University Professor, Chair of the Society of Fellows, and founding director of the Julis-Rabinowitz Program on Jewish and Israeli Law, all at Harvard University. He specializes in constitutional studies, with particular emphasis on power and ethics, design"
2025-05-announcement.html_43e2e365.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,2025-05-announcement.html,https://palisaderesearch.github.io/shutdown_avoidance/2025-05-announcement.html,blog_post,misalignment,Scalable Oversight,shutdown-resistance,,2025-05-20,
