filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
2025.02.20-RMF-Draft_88bb0c85.pdf,01_Risks-and-Failure-Modes/01a_Existential-Risk,2025.02.20-RMF-Draft,,research_paper,misalignment,Existential Risk & Superintelligence,,,,
AI_Timelines_Where_the_Arguments_and_the_Experts_Stand_317e7efd.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,"AI Timelines: Where the Arguments, and the ""Experts,"" Stand",https://www.cold-takes.com/where-ai-forecasting-stands-today,blog_post,misalignment,Existential Risk & Superintelligence,,Holden Karnofsky,2021-09-07,"What the best available forecasting methods say - and why there's no ""expert field"" for this topic."
All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,All Possible Views About Humanity's Future Are Wild,https://www.cold-takes.com/all-possible-views-about-humanitys-future-are-wild,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence","x-risk, AGI",Holden Karnofsky,2021-07-13,We seem to be among the earliest living beings in the galaxy.
CBPAI_522ed094.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,CBPAI,https://www.cbpai.org/,blog_post,misalignment,Existential Risk & Superintelligence,"governance, superintelligence, catastrophic-risk",ThielAntichrist' Collides,2026-04-08,A coalition of NGOs and states to build the bold and democratic global governance that we need for AI.
CERN_for_AI_An_overview_ad031a5f.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,CERN for AI: An overview,https://machinocene.substack.com/p/cern-for-ai-an-overview,blog_post,misuse,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","governance, open-source",Kevin Kohler,2024-05-07,"“I look with envy at my peers in high-energy physics, and in particular at CERN, the European Organization for Nuclear Research, a huge, international collaboration, with thousands of scientists and billions of dollars of funding."
Deep_Utopia_0e4e1bd3.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Deep Utopia,https://nickbostrom.com/deep-utopia,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence,Nick Bostrom,2015-11-23,A greyhound catching the mechanical lure—what would he actually do with it? Has he given this any thought?
Draft_Report_On_AI_Timelines_8c00ba40.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Draft Report On AI Timelines,https://www.lesswrong.com/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,blog_post,misalignment,Existential Risk & Superintelligence,Google,Ajeya Cotra,2020-09-18,
Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,"Forecasting Transformative AI, Part 1: What Kind of AI?",https://www.cold-takes.com/transformative-ai-timelines-part-1-of-4-what-kind-of-ai,blog_post,misalignment,Existential Risk & Superintelligence,,Holden Karnofsky,2021-08-10,PASTA: Process for Automating Scientific and Technological Advancement.
How_Could_We_Know_That_An_AGI_System_Will_Have_Good_726c5d45.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,How Could We Know That An AGI System Will Have Good,https://www.lesswrong.com/posts/iDFTmb8HSGtL4zTvf/how-could-we-know-that-an-agi-system-will-have-good,blog_post,misalignment,Existential Risk & Superintelligence,,So,2022-11-07,
How_OpenAIs_Sam_Altman_Is_Thinking_About_AGI_and_Superintelligence_in_2025_c4d0c5c3.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,How OpenAI’s Sam Altman Is Thinking About AGI and Superintelligence in 2025,https://time.com/7205596/sam-altman-superintelligence-agi,blog_post,misalignment,Existential Risk & Superintelligence,"superintelligence, AGI, OpenAI",Tharin Pillay,2025-01-08,"The OpenAI CEO recently published a blog post reflecting on AI progress, as well as his brief ouster from the company."
I._From_GPT-4_to_AGI_Counting_the_OOMs_-_SITUATIONAL_AWARENESS_93687572.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,I. From GPT-4 to AGI: Counting the OOMs - SITUATIONAL AWARENESS,https://situational-awareness.ai/from-gpt-4-to-agi,blog_post,misalignment,Existential Risk & Superintelligence,AGI,,2024-05-29,"AGI by 2027 is strikingly plausible. GPT-2 to GPT-4 took us from ~preschooler to ~smart high-schooler abilities in 4 years. Tracing trendlines in compute (~0.5 orders of magnitude or OOMs/year), algorithmic efficiencies (~0.5 OOMs/year), and “unhobbling” gains (from chatbot to agent), we should expe"
II._From_AGI_to_Superintelligence_the_Intelligence_Explosion_-_SITUATIONAL_AWARENESS_1744d725.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,II. From AGI to Superintelligence: the Intelligence Explosion - SITUATIONAL AWARENESS,https://situational-awareness.ai/from-agi-to-superintelligence,blog_post,misalignment,Existential Risk & Superintelligence,"superintelligence, AGI, intelligence-explosion",,2024-05-29,"AI progress won’t stop at human-level. Hundreds of millions of AGIs could automate AI research, compressing a decade of algorithmic progress (5+ OOMs) into ≤1 year. We would rapidly go from human-level to vastly superhuman AI systems. The power—and the peril—of superintelligence would be dramatic. L"
IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,IIIb. Lock Down the Labs: Security for AGI - SITUATIONAL AWARENESS,https://situational-awareness.ai/lock-down-the-labs,blog_post,misalignment,Existential Risk & Superintelligence,AGI,,2024-05-29,"The nation’s leading AI labs treat security as an afterthought. Currently, they’re basically handing the key secrets for AGI to the CCP on a silver platter. Securing the AGI secrets and weights against the state-actor threat will be an immense effort, and we’re not on track. They met in the evening "
IIId._The_Free_World_Must_Prevail_-_SITUATIONAL_AWARENESS_ca7b1bb1.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,IIId. The Free World Must Prevail - SITUATIONAL AWARENESS,https://situational-awareness.ai/the-free-world-must-prevail,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence,,2024-05-29,"Superintelligence will give a decisive economic and military advantage. China isn’t at all out of the game yet. In the race to AGI, the free world’s very survival will be at stake. Can we maintain our preeminence over the authoritarian powers? And will we manage to avoid self-destruction along the w"
If_Anyone_Builds_It_Everyone_Dies_87ba691e.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,"If Anyone Builds It, Everyone Dies",https://ifanyonebuildsit.com/media-kit,blog_post,misalignment,Existential Risk & Superintelligence,"superintelligence, extinction",Eliezer Yudkowsky; Nate Soares,2007-08-25,"The race to superhuman AI risks extinction, but it's not too late to change course."
It_Looks_Like_You_Re_Trying_To_Take_Over_The_World_ba1b2e50.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,It Looks Like You're Trying To Take Over The World,https://www.lesswrong.com/posts/a5e9arCnbDac9Doig/it-looks-like-you-re-trying-to-take-over-the-world,blog_post,misalignment,Existential Risk & Superintelligence,,Gwern,2022-03-09,
Keep_The_Future_Human_c11277d1.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Keep The Future Human,https://keepthefuturehuman.ai/essay/docs/chapter-1,blog_post,misalignment,Existential Risk & Superintelligence,"superintelligence, AGI",,2024-01-18,Humanity is on the brink of developing artificial general intelligence that exceeds our own. It's time to close the gates on AGI and superintelligence... before we lose control of our future.
Keep_the_Future_Human__AnthonyAguirre__5March2025_b5deba72.pdf,01_Risks-and-Failure-Modes/01a_Existential-Risk,Keep the Future Human  AnthonyAguirre  5March2025,,research_paper,misalignment,Existential Risk & Superintelligence,"superintelligence, AGI",,,
LESSWRONG_d0aef86c.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/PY3HEHc5fMQkTrQo4/beware-safety-washing,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence",,Lizka,2023-01-13,
LESSWRONG_ee64d13a.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/FBoyR2rt29oYvazsE/high-reliability-orgs-and-ai-companies,blog_post,misalignment,Existential Risk & Superintelligence,AGI,Raemon,2022-08-04,
LESSWRONG_f945d0f4.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG,https://www.lesswrong.com/posts/SbAgRYo8tkHwhd9Qx/deepmind-the-podcast-excerpts-on-agi,blog_post,misalignment,Existential Risk & Superintelligence,"AGI, DeepMind",WilliamKiely,2022-04-07,
Nobodys_on_the_ball_on_AGI_alignment_4021700d.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Nobody’s on the ball on AGI alignment,https://www.forourposterity.com/nobodys-on-the-ball-on-agi-alignment,blog_post,misalignment,Existential Risk & Superintelligence,AGI,Leopold Aschenbrenner,2023-03-29,"Far fewer people are working on it than you might think, and even the alignment research that is happening is very much not on track. (But it’s a solvable problem, if we get our act together.)"
Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,"Safety engineering, target selection, and alignment theory - Machine Intelligence Research Institute",https://intelligence.org/2015/12/31/safety-engineering-target-selection-and-alignment-theory,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence",,Nate Soares,2015-12-31,Artificial intelligence capabilities research is aimed at making computer systems more intelligent — able to solve a wider range of problems more effectively
Six_Dimensions_Of_Operational_Adequacy_In_AGI_Projects_f8334cba.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Six Dimensions Of Operational Adequacy In AGI Projects,https://www.lesswrong.com/posts/keiYkaeoLHoKK4LYA/six-dimensions-of-operational-adequacy-in-agi-projects,blog_post,misalignment,Existential Risk & Superintelligence,,Eliezer Yudkowsky,2022-05-30,
Statement_on_AI_Risk_CAIS_0b044cb6.md,01_Risks-and-Failure-Modes/01a_Existential-Risk,Statement on AI Risk | CAIS,https://www.safe.ai/statement-on-ai-risk,petition,misalignment,Existential Risk & Superintelligence,extinction,,2026-01-01,A statement jointly signed by a historic coalition of experts: “Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war.”
