filename,status,target,info
112_726c5d45.md,ok,AI Safety/112_726c5d45.md,confidence=medium
116_294b0039.md,ok,AI Alignment/116_294b0039.md,confidence=medium
119_a4a84e19.md,ok,Evaluation/119_a4a84e19.md,confidence=medium
143_11a0e906.md,ok,AI Safety/143_11a0e906.md,confidence=medium
159_fc67c38f.md,ok,AI Safety/159_fc67c38f.md,confidence=low
161_b497a748.md,ok,AI Safety/161_b497a748.md,confidence=low
189_b6e771eb.md,ok,AI Safety/189_b6e771eb.md,confidence=low
190_f3b729eb.md,ok,AI Safety/190_f3b729eb.md,confidence=low
2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,ok,AI Safety/2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,confidence=low
2025-05-announcement.html_43e2e365.md,ok,AI Risk Mitigation/2025-05-announcement.html_43e2e365.md,confidence=medium
2025_Informed_the_year_of_Agentic_AI_-_TechInformed_d93fca7b.md,ok,AI Safety/2025_Informed_the_year_of_Agentic_AI_-_TechInformed_d93fca7b.md,confidence=medium
215_8c00ba40.md,ok,AI Safety/215_8c00ba40.md,confidence=medium
221_56f53f26.md,ok,AI Safety/221_56f53f26.md,confidence=low
222_9c90fe79.md,ok,AI Risk Mitigation/222_9c90fe79.md,confidence=medium
226_9b066c2d.md,ok,AI Safety/226_9b066c2d.md,confidence=low
230_fb033cda.md,ok,Model-level Mitigation/230_fb033cda.md,confidence=medium
254_5f282ae9.md,ok,AI Safety/254_5f282ae9.md,confidence=low
281_ec170c80.md,ok,AI Safety/281_ec170c80.md,confidence=low
287_aa6f98d1.md,ok,AI Safety/287_aa6f98d1.md,confidence=low
290_fdd1fc9a.md,ok,AI Safety/290_fdd1fc9a.md,confidence=medium
293_5e45579a.md,ok,AI Safety/293_5e45579a.md,confidence=low
301_60c3e5f2.md,ok,AI Safety/301_60c3e5f2.md,confidence=low
323_f8334cba.md,ok,AI Safety/323_f8334cba.md,confidence=medium
374_478b16f1.md,ok,AI Risk Mitigation/374_478b16f1.md,confidence=medium
418_ba1b2e50.md,ok,AI Safety/418_ba1b2e50.md,confidence=medium
452_758831b4.md,ok,AI Safety/452_758831b4.md,confidence=low
458_cf90fc1b.md,ok,AI Safety/458_cf90fc1b.md,confidence=low
AI_Alignment_57150640.md,ok,AI Safety/AI_Alignment_57150640.md,confidence=low
AI_Alignment_72dc2650.md,ok,AI Safety/AI_Alignment_72dc2650.md,confidence=low
AI_Alignment_9c5918bf.md,ok,AI Safety/AI_Alignment_9c5918bf.md,confidence=low
AI_Alignment_dbe0a694.md,ok,AI Safety/AI_Alignment_dbe0a694.md,confidence=low
AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,ok,AI Safety/AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,confidence=low
AI_Models_Are_Getting_Smarter._New_Tests_Are_Racing_to_Catch_Up_d39691cc.md,ok,Evaluation/AI_Models_Are_Getting_Smarter._New_Tests_Are_Racing_to_Catch_Up_d39691cc.md,confidence=medium
AI_Timelines_Where_the_Arguments_and_the_Experts_Stand_317e7efd.md,ok,AI Safety/AI_Timelines_Where_the_Arguments_and_the_Experts_Stand_317e7efd.md,confidence=medium
AI_automated_discrimination._Heres_how_to_spot_it._97d7d082.md,ok,AI Safety/AI_automated_discrimination._Heres_how_to_spot_it._97d7d082.md,confidence=low
AI_jailbreaks_What_they_are_and_how_they_can_be_mitigated_Microsoft_Security_Blog_4cf43e3b.md,ok,AI Safety/AI_jailbreaks_What_they_are_and_how_they_can_be_mitigated_Microsoft_Security_Blog_4cf43e3b.md,confidence=low
AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,ok,AI Safety/AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,confidence=low
ATTCK_Matrix_for_Enterprise_90bbfb5d.md,ok,AI Safety/ATTCK_Matrix_for_Enterprise_90bbfb5d.md,confidence=low
A_Mathematical_Framework_for_Transformer_Circuits_928c3b5b.md,ok,AI Safety/A_Mathematical_Framework_for_Transformer_Circuits_928c3b5b.md,confidence=medium
A_Toy_Evaluation_of_Inference_Code_Tampering_67e62168.md,ok,Evaluation/A_Toy_Evaluation_of_Inference_Code_Tampering_67e62168.md,confidence=high
A_new_initiative_for_developing_third-party_model_evaluations_b5216eaa.md,ok,Evaluation/A_new_initiative_for_developing_third-party_model_evaluations_b5216eaa.md,confidence=high
Activating_AI_Safety_Level_3_protections_3774cdbe.md,ok,RSP/Activating_AI_Safety_Level_3_protections_3774cdbe.md,confidence=high
Advanced_AI_evaluations_at_AISI_May_update_AISI_Work_91e3c569.md,ok,Evaluation/Advanced_AI_evaluations_at_AISI_May_update_AISI_Work_91e3c569.md,confidence=medium
Advances_in_CRISPR_therapeutics_-_Nature_Reviews_Nephrology_eb101748.md,ok,AI Safety/Advances_in_CRISPR_therapeutics_-_Nature_Reviews_Nephrology_eb101748.md,confidence=low
Alignment_Research_Center_62b91b1b.md,ok,AI Safety/Alignment_Research_Center_62b91b1b.md,confidence=low
Alignment_faking_in_large_language_models_3d7e3773.md,ok,AI Alignment/Alignment_faking_in_large_language_models_3d7e3773.md,confidence=high
All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,ok,AI Safety/All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,confidence=low
AlphaGo_-_Wikipedia_b8fb4193.md,ok,AI Safety/AlphaGo_-_Wikipedia_b8fb4193.md,confidence=medium
AlphaProteo_generates_novel_proteins_for_biology_and_health_research_887b199e.md,ok,AI Safety/AlphaProteo_generates_novel_proteins_for_biology_and_health_research_887b199e.md,confidence=medium
