original_path,moved_to_in_delete
05_Resources/05a_Educational/AI_Alignment_57150640.md,_to_delete/05_Resources__05a_Educational__AI_Alignment_57150640.md
05_Resources/05a_Educational/AI_Alignment_dbe0a694.md,_to_delete/05_Resources__05a_Educational__AI_Alignment_dbe0a694.md
05_Resources/05a_Educational/AI_Alignment_9c5918bf.md,_to_delete/05_Resources__05a_Educational__AI_Alignment_9c5918bf.md
05_Resources/05a_Educational/AI_Alignment_72dc2650.md,_to_delete/05_Resources__05a_Educational__AI_Alignment_72dc2650.md
02_Mitigations-and-Methods/02f_Interpretability/Home_Anthropic_138dc8d9.md,_to_delete/02_Mitigations-and-Methods__02f_Interpretability__Home_Anthropic_138dc8d9.md
03_Evaluations/03e_Other-Evaluations/Redirecting_fb5699a0.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting_fb5699a0.md
03_Evaluations/03e_Other-Evaluations/Redirecting_143339e8.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting_143339e8.md
03_Evaluations/03e_Other-Evaluations/Redirecting_a7f555e0.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting_a7f555e0.md
03_Evaluations/03e_Other-Evaluations/Redirecting_ba0fe928.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting_ba0fe928.md
03_Evaluations/03e_Other-Evaluations/Sarah_L._Gebauer_-_Publications_8a417304.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Sarah_L._Gebauer_-_Publications_8a417304.md
03_Evaluations/03e_Other-Evaluations/Bria_Persaud_-_Publications_0d1f44dd.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Bria_Persaud_-_Publications_0d1f44dd.md
03_Evaluations/03e_Other-Evaluations/Henry_Alexander_Bradley_-_Publications_81f9abaa.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Henry_Alexander_Bradley_-_Publications_81f9abaa.md
03_Evaluations/03e_Other-Evaluations/Grant_Ellison_-_Publications_863807a9.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Grant_Ellison_-_Publications_863807a9.md
03_Evaluations/03e_Other-Evaluations/Jordan_Despanie_-_Publications_994e2c89.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Jordan_Despanie_-_Publications_994e2c89.md
03_Evaluations/03e_Other-Evaluations/Charles_Teague_-_Publications_ab391267.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Charles_Teague_-_Publications_ab391267.md
03_Evaluations/03e_Other-Evaluations/Dawid_Maciorowski_-_Publications_1550c25d.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Dawid_Maciorowski_-_Publications_1550c25d.md
03_Evaluations/03e_Other-Evaluations/Kyle_Brady_-_Publications_4421dc4b.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Kyle_Brady_-_Publications_4421dc4b.md
03_Evaluations/03e_Other-Evaluations/Redirecting_24880147.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting_24880147.md
01_Risks-and-Failure-Modes/01a_Existential-Risk/Subscribe_to_Epoch_AI_0f65568e.md,_to_delete/01_Risks-and-Failure-Modes__01a_Existential-Risk__Subscribe_to_Epoch_AI_0f65568e.md
03_Evaluations/03e_Other-Evaluations/Redirecting..._3be50887.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Redirecting..._3be50887.md
02_Mitigations-and-Methods/02f_Interpretability/Anthropicâs_Interpretability_Research_7ff6253f.md,_to_delete/02_Mitigations-and-Methods__02f_Interpretability__Anthropicâs_Interpretability_Research_7ff6253f.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Effective_Ventures_cd6d856a.md,_to_delete/02_Mitigations-and-Methods__02a_RLHF-and-Limitations__Effective_Ventures_cd6d856a.md
01_Risks-and-Failure-Modes/01a_Existential-Risk/RAND_Provides_Objective_Research_Services_and_Public_Policy_Analysis_1dbe37c2.md,_to_delete/01_Risks-and-Failure-Modes__01a_Existential-Risk__RAND_Provides_Objective_Research_Services_and_Public_Policy_Analysis_1dbe37c2.md
04_Governance-and-Policy/04c_Other-Governance/Contact_Us_Apollo_Research_f43d6548.md,_to_delete/04_Governance-and-Policy__04c_Other-Governance__Contact_Us_Apollo_Research_f43d6548.md
03_Evaluations/03e_Other-Evaluations/Sunishchal_Dev_-_Profile_24892b97.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Sunishchal_Dev_-_Profile_24892b97.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Philanthropically_Supported_Research_1363e6e2.md,_to_delete/02_Mitigations-and-Methods__02a_RLHF-and-Limitations__Philanthropically_Supported_Research_1363e6e2.md
03_Evaluations/03e_Other-Evaluations/Pioneering_threat_assessment_and_mitigation_for_AI_systems_75cd7726.md,_to_delete/03_Evaluations__03e_Other-Evaluations__Pioneering_threat_assessment_and_mitigation_for_AI_systems_75cd7726.md
01_Risks-and-Failure-Modes/01a_Existential-Risk/RAND_Global_and_Emerging_Risks_28d3042c.md,_to_delete/01_Risks-and-Failure-Modes__01a_Existential-Risk__RAND_Global_and_Emerging_Risks_28d3042c.md
03_Evaluations/03d_Agent-Benchmarks-and-Frameworks/WebArena-x_8490816c.md,_to_delete/03_Evaluations__03d_Agent-Benchmarks-and-Frameworks__WebArena-x_8490816c.md
01_Risks-and-Failure-Modes/01a_Existential-Risk/Jeffrey_Lee_faf2d73f.md,_to_delete/01_Risks-and-Failure-Modes__01a_Existential-Risk__Jeffrey_Lee_faf2d73f.md
