filename,old_folder,new_folder,source_type,wiki_concepts,tags,risk_category,confidence,moved
102_1a2f19d2.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|AGI,structural,medium,yes
159_fc67c38f.md,AI Safety,Evaluation,blog_post,Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,deception,misalignment,low,yes
161_b497a748.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,inner-alignment|catastrophic-risk,misalignment,medium,yes
189_b6e771eb.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,cyber-offense|intelligence-explosion|catastrophic-risk|interpretability,misuse|mistakes,medium,yes
190_f3b729eb.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks|Agentic Misalignment,evaluations|autonomous-systems|Anthropic|METR,misalignment,medium,yes
2015_WHAT_DO_YOU_THINK_ABOUT_MACHINES_THAT_THINK_451f0222.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
221_56f53f26.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,,misalignment,low,yes
226_9b066c2d.md,AI Safety,Evaluation,blog_post,Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Alignment Faking & Scheming,deception|evaluations,misalignment,medium,yes
254_5f282ae9.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,inner-alignment|robustness,misalignment,medium,yes
281_ec170c80.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight,,misalignment,low,yes
287_aa6f98d1.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Alignment Faking & Scheming|AI Evaluations & Benchmarks,scheming|deception|deceptive-alignment|scalable-oversight|evaluations|catastrophic-risk|OpenAI,misalignment,medium,yes
293_5e45579a.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies,RSP,misalignment,low,yes
301_60c3e5f2.md,AI Safety,Evaluation,blog_post,Existential Risk & Superintelligence|AI Evaluations & Benchmarks,evaluations,misalignment,low,yes
452_758831b4.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,persuasion,misuse,low,yes
458_cf90fc1b.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,,misalignment,low,yes
AI_Alignment_57150640.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
AI_Alignment_72dc2650.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
AI_Alignment_9c5918bf.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
AI_Alignment_dbe0a694.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
AI_Could_Defeat_All_Of_Us_Combined_7a851c62.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,debate|superintelligence|x-risk|AGI,misalignment,high,yes
AI_automated_discrimination._Heres_how_to_spot_it._97d7d082.md,AI Safety,AI Safety,blog_post,,OpenAI|Google|open-source,misalignment,low,no
AI_jailbreaks_What_they_are_and_how_they_can_be_mitigated_Microsoft_Security_Blog_4cf43e3b.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,red-teaming|dual-use|jailbreaking|prompt-injection,misuse,medium,yes
AI_safety_tip_if_you_dont_want_it_giving_bioweapon_instructions_maybe_dont_put_them_in_the_training__3cdd3de8.md,AI Safety,RSP,blog_post,Scalable Oversight|Responsible Scaling Policies,bioweapons|cyber-offense|CBRN|model-card|Anthropic|OpenAI|Meta|open-source|open-weight,misuse,medium,yes
ATTCK_Matrix_for_Enterprise_90bbfb5d.md,AI Safety,AI Risk Mitigation,educational,,cyber-offense,misuse,low,yes
Advances_in_CRISPR_therapeutics_-_Nature_Reviews_Nephrology_eb101748.md,AI Safety,RSP,blog_post,Responsible Scaling Policies,RSP|regulation,misalignment,medium,yes
Alignment_Research_Center_62b91b1b.md,AI Safety,Model-level Mitigation,blog_post,Weak-to-Strong Generalization,catastrophic-risk|ARC,misalignment,medium,yes
All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,x-risk|AGI,misalignment,high,yes
Announcements_0f14dddf.md,AI Safety,RSP,blog_post,Agentic Misalignment|AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|benchmarks|RSP|model-card|agentic-AI|Anthropic|Google,mistakes,medium,yes
Anson_Ho_ed0b588b.md,AI Safety,Evaluation,research_paper,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,debate|benchmarks|intelligence-explosion|OpenAI|AGI,structural,high,yes
Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,catastrophic-risk,misalignment,low,yes
Anthropics_Frontier_Safety_Roadmap_c71576a7.md,AI Safety,RSP,blog_post,AI Evaluations & Benchmarks|Responsible Scaling Policies|Agentic Misalignment,red-teaming|RSP|responsible-scaling|ASL|autonomous-systems|Anthropic|jailbreaking,misuse,medium,yes
Approximating_KL_Divergence_e00e4e24.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,,misalignment,low,yes
Article_56_Codes_of_Practice_cd9ad85d.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,regulation,misalignment,low,yes
Assurance_contract_-_Wikipedia_05c9efe6.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,control-problem,misalignment,low,no
Atoms_for_Peace_-_Wikipedia_5e142ed9.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Aviary_training_language_agents_on_challenging_scientific_tasks_FutureHouse_a9156d94.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Agentic Misalignment|AI Evaluations & Benchmarks,benchmarks|tool-use|OpenAI|open-source,misalignment,medium,yes
BadLlama_3_d33b0c77.md,AI Safety,Evaluation,educational,AI Evaluations & Benchmarks,evaluations|benchmarks,misalignment,high,yes
Baruch_Plan_-_Wikipedia_20604dc4.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Bayes_factor_-_Wikipedia_2aa0afd6.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,evaluations,misalignment,low,yes
Bill_Text_b3f665b3.md,AI Safety,Evaluation,blog_post,Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Scalable Oversight,deception|evaluations|cyber-offense|catastrophic-risk|transparency,misuse,medium,yes
Buck_3aaf690a.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Alignment Faking & Scheming|Existential Risk & Superintelligence,scheming,misalignment,low,yes
CAR_T_cell_-_Wikipedia_17b955b4.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
CBRN_defense_-_Wikipedia_7dc02fd5.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,CBRN,misuse,low,yes
CERN_for_AI_An_overview_ad031a5f.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,governance|open-source,misuse,medium,yes
CLARITY_-_Wikipedia_23c62aeb.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,transparency,misalignment,low,no
CRISPR_-_Wikipedia_6fa4f6de.md,AI Safety,RSP,blog_post,Responsible Scaling Policies,RSP,misalignment,low,yes
CS_188_Fall_2024_968558fc.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Claude_Doesnt_Want_to_Die_b85a5017.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,evaluations|benchmarks|existential-risk|Anthropic|OpenAI,misalignment,medium,yes
Claudes_Constitution_5f2c1d85.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Constitutional AI (RLAIF)|Scalable Oversight|AI Evaluations & Benchmarks|Responsible Scaling Policies,Constitutional-AI|scalable-oversight|RSP|Anthropic|DeepMind|transparency|adversarial,misalignment,medium,yes
Claudes_Constitution_b1c32e58.md,AI Safety,RSP,model_card,Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,bioweapons|cyber-offense|model-card|Anthropic|transparency|jailbreaking,misuse,medium,yes
Code_World_Model_Preparedness_Report_d4af6e7f.md,AI Safety,Evaluation,blog_post,Scalable Oversight|AI Evaluations & Benchmarks,catastrophic-risk|open-weight,misalignment,medium,yes
Concorde_-_Wikipedia_12110b87.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,,misalignment,low,yes
Confidential_computing_-_Wikipedia_8466b72c.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Construct_validity_-_Wikipedia_d940ad0b.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks,,misalignment,low,yes
Cookie_Policy_1d4cbca5.md,AI Safety,AI Risk Mitigation,research_paper,RLHF & Its Limitations,Google|AGI,structural,high,yes
Cooperative_AI_Contact_92f721d2.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,catastrophic-risk|Anthropic|OpenAI|interpretability|mechanistic-interpretability,mistakes,medium,yes
Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,catastrophic-risk|Anthropic|OpenAI|interpretability|mechanistic-interpretability,mistakes,medium,yes
Cosmos_QA_Machine_Reading_Comprehension_with_Contextual_Commonsense_Reasoning_a5443f4c.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Could_Artificial_Intelligence_Be_Misused_to_Plan_Biological_Attacks_fd68ea56.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks|Scalable Oversight,red-teaming|bioweapons|regulation,misalignment,medium,yes
Countries_that_are_democracies_and_autocracies_a519aa06.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Crop_Yields_042899e6.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,governance|Anthropic|adversarial,misalignment,medium,yes
Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight,,misalignment,low,yes
Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence|Agentic Misalignment,autonomous-systems,misalignment,low,no
Defining_Insider_Threats_CISA_9afeb970.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,cyber-offense,misuse,low,yes
Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,open-source,misalignment,low,no
Elo_rating_system_-_Wikipedia_0240201a.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,evaluations,misalignment,low,yes
Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,AI Safety,Evaluation,blog_post,Alignment Faking & Scheming|AI Evaluations & Benchmarks,alignment-faking|deception|dangerous-capabilities|Anthropic|OpenAI,misalignment,medium,yes
Expansion_microscopy_-_Wikipedia_42b2892c.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
External_validity_-_Wikipedia_c3e552b8.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Externality_-_Wikipedia_9530d9ad.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,,misalignment,low,yes
FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,cyber-offense|CBRN|Anthropic|OpenAI|adversarial|jailbreaking,misuse,medium,yes
Five_Eyes_-_Wikipedia_090eb4e2.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,debate,misalignment,low,yes
Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Friedrich_Hayek_-_Wikipedia_25ec0df2.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Future_of_AI_Course_BlueDot_Impact_100477de.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,AI Safety,AI Risk Mitigation,educational,,,misalignment,low,yes
Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
