from,reason,status,substring,to
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,country economics Wikipedia,ok,Four_Asian_Tigers_-_Wikipedia,05_Resources/05b_Sources-Background/Four_Asian_Tigers_-_Wikipedia_0a522b8a.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Smart_contract_-_Wikipedia_a859c087.md,tech Wikipedia,ok,Smart_contract_-_Wikipedia,05_Resources/05b_Sources-Background/Smart_contract_-_Wikipedia_a859c087.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Social_Security_debate_in_the_United_States_-_Wikipedia_75e533ce.md,US politics Wikipedia,ok,Social_Security_debate_in_the_United_States,05_Resources/05b_Sources-Background/Social_Security_debate_in_the_United_States_-_Wikipedia_75e533ce.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Socialist_calculation_debate_-_Wikipedia_23def74e.md,economics Wikipedia,ok,Socialist_calculation_debate_-_Wikipedia,05_Resources/05b_Sources-Background/Socialist_calculation_debate_-_Wikipedia_23def74e.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Sydney_Brenner_-_Wikipedia_68c339bd.md,biologist biography,ok,Sydney_Brenner_-_Wikipedia,05_Resources/05b_Sources-Background/Sydney_Brenner_-_Wikipedia_68c339bd.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/The_Art_of_the_Deal_-_Wikipedia_b79326db.md,Trump book Wikipedia,ok,The_Art_of_the_Deal_-_Wikipedia,05_Resources/05b_Sources-Background/The_Art_of_the_Deal_-_Wikipedia_b79326db.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/The_Association_between_Subjective_Well-being_and_Regime_Type_across_78_countries_the_moderating_rol_d6fc7d31.md,political science paper,ok,The_Association_between_Subjective_Well-being,05_Resources/05b_Sources-Background/The_Association_between_Subjective_Well-being_and_Regime_Type_across_78_countries_the_moderating_rol_d6fc7d31.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/United_States_Armed_Forces_-_Wikipedia_f075ee33.md,military Wikipedia,ok,United_States_Armed_Forces_-_Wikipedia,05_Resources/05b_Sources-Background/United_States_Armed_Forces_-_Wikipedia_f075ee33.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Why_Arms_Control_Is_So_Rare_American_Political_Science_Review_Cambridge_Core_ff5c046a.md,polisci paper,ok,Why_Arms_Control_Is_So_Rare,05_Resources/05b_Sources-Background/Why_Arms_Control_Is_So_Rare_American_Political_Science_Review_Cambridge_Core_ff5c046a.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Synthetic_virology_the_experts_speak_-_Nature_Biotechnology_bad50acf.md,Nature Biotech background,ok,Synthetic_virology_the_experts_speak,05_Resources/05b_Sources-Background/Synthetic_virology_the_experts_speak_-_Nature_Biotechnology_bad50acf.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Revisiting_Al-Qaidas_Anthrax_Program_-_Combating_Terrorism_Center_at_West_Point_3aeea483.md,historical biorisk context,ok,Revisiting_Al-Qaidas_Anthrax_Program,05_Resources/05b_Sources-Background/Revisiting_Al-Qaidas_Anthrax_Program_-_Combating_Terrorism_Center_at_West_Point_3aeea483.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Is_Democracy_a_Fad_6c2db200.md,political science speculation,ok,Is_Democracy_a_Fad,05_Resources/05b_Sources-Background/Is_Democracy_a_Fad_6c2db200.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Cookie_Policy_1d4cbca5.md,Epoch AI cookie policy stub,ok,Cookie_Policy,05_Resources/05b_Sources-Background/Cookie_Policy_1d4cbca5.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Reliable_Shared_Web_Hosting_Services_f7cc5afa.md,web hosting marketing — not a research artifact,ok,Reliable_Shared_Web_Hosting_Services,05_Resources/05b_Sources-Background/Reliable_Shared_Web_Hosting_Services_f7cc5afa.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Scaling_tacit_knowledge_8d8f5a60.md,"Nintil essay, weak AI relevance",ok,Scaling_tacit_knowledge,05_Resources/05b_Sources-Background/Scaling_tacit_knowledge_8d8f5a60.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/LESSWRONG_19a05258.md,arbital orthogonality thesis,ok,LESSWRONG_19a05258,05_Resources/05b_Sources-Background/LESSWRONG_19a05258.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/LESSWRONG_3b7cdedf.md,instrumental convergence tag,ok,LESSWRONG_3b7cdedf,05_Resources/05b_Sources-Background/LESSWRONG_3b7cdedf.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/LESSWRONG_cc1eed09.md,arbital expected utility,ok,LESSWRONG_cc1eed09,05_Resources/05b_Sources-Background/LESSWRONG_cc1eed09.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/LESSWRONG_f9826af5.md,nonperson predicates speculation,ok,LESSWRONG_f9826af5,05_Resources/05b_Sources-Background/LESSWRONG_f9826af5.md
